Stad,År,Befolkning
Gävle,1910,35202
Gävle,1920,37761
Gävle,1930,38857
Gävle,1940,39697
Gävle,1950,46919
Gävle,1960,54768
Gävle,1965,59982
Gävle,1967,60990
Göteborg,1800,12804
Göteborg,1810,14346
Göteborg,1820,16519
Göteborg,1830,21036
Göteborg,1840,21558
Göteborg,1850,26084
Göteborg,1860,37043
Göteborg,1870,56288
Göteborg,1880,76401
Göteborg,1890,104657
Göteborg,1900,130619
Göteborg,1910,167809
Göteborg,1920,202328
Göteborg,1930,243414
Göteborg,1940,281287
Göteborg,1950,353580
Göteborg,1960,404738
Göteborg,1965,421809
Göteborg,1967,445408
Hagfors,1800,NA
Hagfors,1810,NA
Hagfors,1820,NA
Hagfors,1830,NA
Hagfors,1840,NA
Hagfors,1850,NA
Hagfors,1860,NA
Hagfors,1870,NA
Hagfors,1880,NA
Hagfors,1890,NA
Hagfors,1900,NA
Hagfors,1910,NA
Hagfors,1920,NA
Hagfors,1930,NA
Hagfors,1940,NA
Hagfors,1950,6505
Hagfors,1960,8450
Hagfors,1965,8908
Hagfors,1967,8975
Halmstad,1800,1317
Halmstad,1810,1134
Halmstad,1820,1611
Halmstad,1830,1887
Halmstad,1840,2257
Halmstad,1850,2761
Halmstad,1860,3945
Halmstad,1870,5738
Halmstad,1880,8505
Halmstad,1890,11825
Halmstad,1900,15362
Halmstad,1910,18342
Halmstad,1920,18409
Halmstad,1930,23866
Halmstad,1940,27939
Halmstad,1950,35219
Halmstad,1960,39032
Halmstad,1965,41067
Halmstad,1967,46548
Haparanda,1800,NA
Haparanda,1810,NA
Haparanda,1820,NA
Haparanda,1830,NA
Haparanda,1840,NA
Haparanda,1850,554
Haparanda,1860,737
Haparanda,1870,942
Haparanda,1880,1039
Haparanda,1890,1252
Haparanda,1900,1568
Haparanda,1910,1423
Haparanda,1920,2780
Haparanda,1930,2519
Haparanda,1940,2690
Haparanda,1950,2955
Haparanda,1960,3394
Haparanda,1965,3966
Haparanda,1967,9439
Hedemora,1800,727
Hedemora,1810,699
Hedemora,1820,875
Hedemora,1830,937
Hedemora,1840,1007
Hedemora,1850,1044
Hedemora,1860,1137
Hedemora,1870,1137
Hedemora,1880,1377
Hedemora,1890,1586
Hedemora,1900,1794
Hedemora,1910,2709
Hedemora,1920,3226
Hedemora,1930,3801
Hedemora,1940,4342
Hedemora,1950,5058
Hedemora,1960,6034
Hedemora,1965,6429
Hedemora,1967,17747
Hjo,1800,415
Hjo,1810,405
Hjo,1820,502
Hjo,1830,544
Hjo,1840,615
Hjo,1850,816
Hjo,1860,1164
Hjo,1870,1261
Hjo,1880,1446
Hjo,1890,1445
Hjo,1900,1668
Hjo,1910,2268
Hjo,1920,2538
Hjo,1930,2758
Hjo,1940,2984
Hjo,1950,3436
Hjo,1960,4607
Hjo,1965,4661
Hjo,1967,4773
Hudiksvall,1800,1369
Hudiksvall,1810,1429
Hudiksvall,1820,1630
Hudiksvall,1830,1773
Hudiksvall,1840,1926
Hudiksvall,1850,2016
Hudiksvall,1860,2656
Hudiksvall,1870,3241
Hudiksvall,1880,4464
Hudiksvall,1890,4804
Hudiksvall,1900,4902
Hudiksvall,1910,7734
Hudiksvall,1920,7564
Hudiksvall,1930,7321
Hudiksvall,1940,7352
Hudiksvall,1950,8756
Hudiksvall,1960,11979
Hudiksvall,1965,15798
Hudiksvall,1967,16043
Huskvarna,1800,NA
Huskvarna,1810,NA
Huskvarna,1820,NA
Huskvarna,1830,NA
Huskvarna,1840,NA
Huskvarna,1850,NA
Huskvarna,1860,NA
Huskvarna,1870,NA
Huskvarna,1880,NA
Huskvarna,1890,NA
Huskvarna,1900,NA
Huskvarna,1910,NA
Huskvarna,1920,7986
Huskvarna,1930,8157
Huskvarna,1940,9325
Huskvarna,1950,12569
Huskvarna,1960,13763
Huskvarna,1965,14165
Huskvarna,1967,18254
Hälsingborg,1800,1741
Hälsingborg,1810,2087
Hälsingborg,1820,2391
Hälsingborg,1830,2990
Hälsingborg,1840,3211
Hälsingborg,1850,4140
Hälsingborg,1860,5333
Hälsingborg,1870,7941
Hälsingborg,1880,11550
Hälsingborg,1890,20410
Hälsingborg,1900,24670
Hälsingborg,1910,33347
Hälsingborg,1920,47069
Hälsingborg,1930,55889
Hälsingborg,1940,62176
Hälsingborg,1950,71572
Hälsingborg,1960,76574
Hälsingborg,1965,78769
Hälsingborg,1967,80648
Härnösand,1800,1764
Härnösand,1810,1769
Härnösand,1820,1826
Härnösand,1830,1966
Härnösand,1840,2163
Härnösand,1850,2738
Härnösand,1860,3239
Härnösand,1870,3707
Härnösand,1880,5370
Härnösand,1890,5789
Härnösand,1900,7890
Härnösand,1910,9424
Härnösand,1920,9742
Härnösand,1930,11787
Härnösand,1940,12624
Härnösand,1950,15331
Härnösand,1960,17163
Härnösand,1965,16808
Härnösand,1967,16625
Hässleholm,1800,NA
Hässleholm,1810,NA
Hässleholm,1820,NA
Hässleholm,1830,NA
Hässleholm,1840,NA
Hässleholm,1850,NA
Hässleholm,1860,NA
Hässleholm,1870,NA
Hässleholm,1880,NA
Hässleholm,1890,NA
Hässleholm,1900,NA
Hässleholm,1910,NA
Hässleholm,1920,3340
Hässleholm,1930,3236
Hässleholm,1940,3895
Hässleholm,1950,10749
Hässleholm,1960,13479
Hässleholm,1965,15764
Hässleholm,1967,16040
Höganäs,1800,NA
Höganäs,1810,NA
Höganäs,1820,NA
Höganäs,1830,NA
Höganäs,1840,NA
Höganäs,1850,NA
Höganäs,1860,NA
Höganäs,1870,NA
Höganäs,1880,NA
Höganäs,1890,NA
Höganäs,1900,NA
Höganäs,1910,NA
Höganäs,1920,NA
Höganäs,1930,NA
Höganäs,1940,6634
Höganäs,1950,6928
Höganäs,1960,7452
Höganäs,1965,8297
Höganäs,1967,13838
Jönköping,1800,2684
Jönköping,1810,3017
Jönköping,1820,3538
Jönköping,1830,4220
Jönköping,1840,4742
Jönköping,1850,6008
Jönköping,1860,7444
Jönköping,1870,10879
Jönköping,1880,16147
Jönköping,1890,19682
Jönköping,1900,23143
Jönköping,1910,26969
Jönköping,1920,29285
Jönköping,1930,30915
Jönköping,1940,36280
Jönköping,1950,43766
Jönköping,1960,50652
Jönköping,1965,53309
Jönköping,1967,53815
Kalmar,1800,3253
Kalmar,1810,4237
Kalmar,1820,4762
Kalmar,1830,5401
Kalmar,1840,5964
Kalmar,1850,6634
Kalmar,1860,8061
Kalmar,1870,9275
Kalmar,1880,10963
Kalmar,1890,11772
Kalmar,1900,12715
Kalmar,1910,15535
Kalmar,1920,17086
Kalmar,1930,19800
Kalmar,1940,21439
Kalmar,1950,27087
Kalmar,1960,30839
Kalmar,1965,36863
Kalmar,1967,37965
Karlshamn,1800,3170
Karlshamn,1810,3569
Karlshamn,1820,3508
Karlshamn,1830,4110
Karlshamn,1840,4408
Karlshamn,1850,5071
Karlshamn,1860,5633
Karlshamn,1870,5546
Karlshamn,1880,6402
Karlshamn,1890,7189
Karlshamn,1900,7091
Karlshamn,1910,7209
Karlshamn,1920,7604
Karlshamn,1930,7486
Karlshamn,1940,10018
Karlshamn,1950,10653
Karlshamn,1960,11657
Karlshamn,1965,12351
Karlshamn,1967,30639
Karlskoga,1800,NA
Karlskoga,1810,NA
Karlskoga,1820,NA
Karlskoga,1830,NA
Karlskoga,1840,NA
Karlskoga,1850,NA
Karlskoga,1860,NA
Karlskoga,1870,NA
Karlskoga,1880,NA
Karlskoga,1890,NA
Karlskoga,1900,NA
Karlskoga,1910,NA
Karlskoga,1920,NA
Karlskoga,1930,NA
Karlskoga,1940,26114
Karlskoga,1950,31332
Karlskoga,1960,35606
Karlskoga,1965,38019
Karlskoga,1967,38203
Karlskrona,1800,10166
Karlskrona,1810,10639
Karlskrona,1820,11573
