Stad,År,Befolkning
Vänersborg,1840,2623
Vänersborg,1850,3067
Vänersborg,1860,4076
Vänersborg,1870,4814
Vänersborg,1880,5482
Vänersborg,1890,5613
Vänersborg,1900,6395
Vänersborg,1910,7648
Vänersborg,1920,8791
Vänersborg,1930,8942
Vänersborg,1940,9144
Vänersborg,1950,15735
Vänersborg,1960,18491
Vänersborg,1965,19671
Vänersborg,1967,19970
Värnamo,1800,NA
Värnamo,1810,NA
Värnamo,1820,NA
Värnamo,1830,NA
Värnamo,1840,NA
Värnamo,1850,NA
Värnamo,1860,NA
Värnamo,1870,NA
Värnamo,1880,NA
Värnamo,1890,NA
Värnamo,1900,NA
Värnamo,1910,NA
Värnamo,1920,3664
Värnamo,1930,4054
Värnamo,1940,5608
Värnamo,1950,11377
Värnamo,1960,13231
Värnamo,1965,15176
Värnamo,1967,15942
Västervik,1800,2985
Västervik,1810,2861
Västervik,1820,2743
Västervik,1830,3066
Västervik,1840,3550
Västervik,1850,4346
Västervik,1860,5257
Västervik,1870,5127
Västervik,1880,6189
Västervik,1890,6872
Västervik,1900,8299
Västervik,1910,9970
Västervik,1920,11889
Västervik,1930,12611
Västervik,1940,13010
Västervik,1950,15731
Västervik,1960,18193
Västervik,1965,19362
Västervik,1967,22924
Västerås,1800,2824
Västerås,1810,2731
Västerås,1820,3093
Västerås,1830,3337
Västerås,1840,3414
Västerås,1850,3780
Västerås,1860,4541
Västerås,1870,5367
Västerås,1880,6201
Västerås,1890,8122
Västerås,1900,11999
Västerås,1910,19145
Västerås,1920,30633
Västerås,1930,30376
Västerås,1940,38597
Västerås,1950,59877
Västerås,1960,77946
Västerås,1965,89003
Västerås,1967,108694
Växjö,1800,1130
Växjö,1810,1228
Växjö,1820,1522
Växjö,1830,2072
Växjö,1840,2342
Växjö,1850,2665
Växjö,1860,3229
Växjö,1870,3737
Växjö,1880,4935
Växjö,1890,6606
Växjö,1900,7365
Växjö,1910,8311
Växjö,1920,9336
Växjö,1930,9699
Växjö,1940,15609
Växjö,1950,20100
Växjö,1960,24041
Växjö,1965,30363
Växjö,1967,32886
Ystad,1800,2460
Ystad,1810,2608
Ystad,1820,3474
Ystad,1830,3972
Ystad,1840,4155
Ystad,1850,5089
Ystad,1860,5324
Ystad,1870,6191
Ystad,1880,7025
Ystad,1890,8235
Ystad,1900,9862
Ystad,1910,11285
Ystad,1920,11337
Ystad,1930,11358
Ystad,1940,11253
Ystad,1950,12992
Ystad,1960,13711
Ystad,1965,13928
Ystad,1967,14052
Åmål,1800,842
Åmål,1810,843
Åmål,1820,1160
Åmål,1830,1302
Åmål,1840,1450
Åmål,1850,1329
Åmål,1860,1629
Åmål,1870,1687
Åmål,1880,2454
Åmål,1890,2756
Åmål,1900,3351
Åmål,1910,4288
Åmål,1920,5656
Åmål,1930,6765
Åmål,1940,7081
Åmål,1950,8060
Åmål,1960,9205
Åmål,1965,9334
Åmål,1967,9398
Ängelholm,1800,697
Ängelholm,1810,592
Ängelholm,1820,840
Ängelholm,1830,1000
Ängelholm,1840,1074
Ängelholm,1850,1310
Ängelholm,1860,1656
Ängelholm,1870,1815
Ängelholm,1880,2092
Ängelholm,1890,1890
Ängelholm,1900,2784
Ängelholm,1910,3998
Ängelholm,1920,4920
Ängelholm,1930,5271
Ängelholm,1940,6097
Ängelholm,1950,7618
Ängelholm,1960,12583
Ängelholm,1965,13845
Ängelholm,1967,13968
Örebro,1800,3267
Örebro,1810,3013
Örebro,1820,3448
Örebro,1830,4113
Örebro,1840,4227
Örebro,1850,5177
Örebro,1860,7377
Örebro,1870,9100
Örebro,1880,11785
Örebro,1890,14547
Örebro,1900,22013
Örebro,1910,30082
Örebro,1920,36033
Örebro,1930,37522
Örebro,1940,49167
Örebro,1950,66839
Örebro,1960,75434
Örebro,1965,81788
Örebro,1967,87430
Öregrund,1800,681
Öregrund,1810,661
Öregrund,1820,682
Öregrund,1830,583
Öregrund,1840,592
Öregrund,1850,667
Öregrund,1860,679
Öregrund,1870,764
Öregrund,1880,822
Öregrund,1890,945
Öregrund,1900,1014
Öregrund,1910,1158
Öregrund,1920,1214
Öregrund,1930,1201
Öregrund,1940,1266
Öregrund,1950,1274
Öregrund,1960,2155
Öregrund,1965,2026
Öregrund,1967,NA
Örnsköldsvik,1800,NA
Örnsköldsvik,1810,NA
Örnsköldsvik,1820,NA
Örnsköldsvik,1830,NA
Örnsköldsvik,1840,NA
Örnsköldsvik,1850,NA
Örnsköldsvik,1860,NA
Örnsköldsvik,1870,NA
Örnsköldsvik,1880,NA
Örnsköldsvik,1890,NA
Örnsköldsvik,1900,2650
Örnsköldsvik,1910,3663
Örnsköldsvik,1920,4322
Örnsköldsvik,1930,5032
Örnsköldsvik,1940,5592
Örnsköldsvik,1950,7336
Örnsköldsvik,1960,8423
Örnsköldsvik,1965,16018
Örnsköldsvik,1967,16581
Östersund,1800,150
Östersund,1810,221
Östersund,1820,313
Östersund,1830,445
Östersund,1840,459
Östersund,1850,817
Östersund,1860,1496
Östersund,1870,1717
Östersund,1880,2854
Östersund,1890,5333
Östersund,1900,6866
Östersund,1910,8264
Östersund,1920,13405
Östersund,1930,14153
Östersund,1940,16647
Östersund,1950,21365
Östersund,1960,24866
Östersund,1965,25642
Östersund,1967,26620
Östhammar,1800,589
Östhammar,1810,496
Östhammar,1820,498
Östhammar,1830,484
Östhammar,1840,561
Östhammar,1850,618
Östhammar,1860,569
Östhammar,1870,637
Östhammar,1880,661
Östhammar,1890,725
Östhammar,1900,788
Östhammar,1910,828
Östhammar,1920,931
Östhammar,1930,1078
Östhammar,1940,1260
Östhammar,1950,1487
Östhammar,1960,7325
Östhammar,1965,6845
Östhammar,1967,8834
