Kommun,Civilstånd,Ålder,Kön,År,Antal
1280 Malmö,ogifta,2,Kvinnor,1968,1747
1280 Malmö,ogifta,2,Kvinnor,1969,1721
1280 Malmö,ogifta,2,Kvinnor,1970,1643
1280 Malmö,ogifta,2,Kvinnor,1971,1491
1280 Malmö,ogifta,2,Kvinnor,1972,1374
1280 Malmö,ogifta,2,Kvinnor,1973,1344
1280 Malmö,ogifta,2,Kvinnor,1974,1210
1280 Malmö,ogifta,2,Kvinnor,1975,1191
1280 Malmö,ogifta,2,Kvinnor,1976,1224
1280 Malmö,ogifta,2,Kvinnor,1977,1226
1280 Malmö,ogifta,2,Kvinnor,1978,1105
1280 Malmö,ogifta,2,Kvinnor,1979,1019
1280 Malmö,ogifta,2,Kvinnor,1980,1084
1280 Malmö,ogifta,2,Kvinnor,1981,1055
1280 Malmö,ogifta,2,Kvinnor,1982,1063
1280 Malmö,ogifta,2,Kvinnor,1983,1062
1280 Malmö,ogifta,2,Kvinnor,1984,1046
1280 Malmö,ogifta,2,Kvinnor,1985,1037
1280 Malmö,ogifta,2,Kvinnor,1986,1097
1280 Malmö,ogifta,2,Kvinnor,1987,1156
1280 Malmö,ogifta,2,Kvinnor,1988,1225
1280 Malmö,ogifta,2,Kvinnor,1989,1192
1280 Malmö,ogifta,2,Kvinnor,1990,1288
1280 Malmö,ogifta,2,Kvinnor,1991,1389
1280 Malmö,ogifta,2,Kvinnor,1992,1509
1280 Malmö,ogifta,2,Kvinnor,1993,1385
1280 Malmö,ogifta,2,Kvinnor,1994,1483
1280 Malmö,ogifta,2,Kvinnor,1995,1502
1280 Malmö,ogifta,2,Kvinnor,1996,1443
1280 Malmö,ogifta,2,Kvinnor,1997,1449
1280 Malmö,ogifta,2,Kvinnor,1998,1307
1280 Malmö,ogifta,2,Kvinnor,1999,1317
1280 Malmö,ogifta,2,Kvinnor,2000,1284
1280 Malmö,ogifta,2,Kvinnor,2001,1356
1280 Malmö,ogifta,2,Kvinnor,2002,1352
1280 Malmö,ogifta,2,Kvinnor,2003,1312
1280 Malmö,ogifta,2,Kvinnor,2004,1393
1280 Malmö,ogifta,2,Kvinnor,2005,1478
1280 Malmö,ogifta,2,Kvinnor,2006,1504
1280 Malmö,ogifta,2,Kvinnor,2007,1654
1280 Malmö,ogifta,2,Kvinnor,2008,1738
1280 Malmö,ogifta,2,Kvinnor,2009,1843
1280 Malmö,ogifta,2,Kvinnor,2010,2059
1280 Malmö,ogifta,2,Kvinnor,2011,2089
1280 Malmö,ogifta,2,Kvinnor,2012,2263
1280 Malmö,ogifta,2,Kvinnor,2013,2225
1280 Malmö,ogifta,2,Kvinnor,2014,2330
1280 Malmö,ogifta,2,Kvinnor,2015,2351
1280 Malmö,ogifta,2,Kvinnor,2016,2332
1280 Malmö,ogifta,2,Kvinnor,2017,2310
1280 Malmö,ogifta,2,Kvinnor,2018,2368
1280 Malmö,ogifta,2,Kvinnor,2019,2267
1280 Malmö,ogifta,2,Kvinnor,2020,2235
1280 Malmö,ogifta,3,Män,1968,1878
1280 Malmö,ogifta,3,Män,1969,1848
1280 Malmö,ogifta,3,Män,1970,1838
1280 Malmö,ogifta,3,Män,1971,1657
1280 Malmö,ogifta,3,Män,1972,1413
1280 Malmö,ogifta,3,Män,1973,1380
1280 Malmö,ogifta,3,Män,1974,1372
1280 Malmö,ogifta,3,Män,1975,1283
1280 Malmö,ogifta,3,Män,1976,1268
1280 Malmö,ogifta,3,Män,1977,1226
1280 Malmö,ogifta,3,Män,1978,1153
1280 Malmö,ogifta,3,Män,1979,1129
1280 Malmö,ogifta,3,Män,1980,1130
1280 Malmö,ogifta,3,Män,1981,1037
1280 Malmö,ogifta,3,Män,1982,1129
1280 Malmö,ogifta,3,Män,1983,1059
1280 Malmö,ogifta,3,Män,1984,1135
1280 Malmö,ogifta,3,Män,1985,1099
1280 Malmö,ogifta,3,Män,1986,1204
1280 Malmö,ogifta,3,Män,1987,1130
1280 Malmö,ogifta,3,Män,1988,1184
1280 Malmö,ogifta,3,Män,1989,1236
1280 Malmö,ogifta,3,Män,1990,1328
1280 Malmö,ogifta,3,Män,1991,1396
1280 Malmö,ogifta,3,Män,1992,1445
1280 Malmö,ogifta,3,Män,1993,1509
1280 Malmö,ogifta,3,Män,1994,1581
1280 Malmö,ogifta,3,Män,1995,1575
1280 Malmö,ogifta,3,Män,1996,1514
1280 Malmö,ogifta,3,Män,1997,1498
1280 Malmö,ogifta,3,Män,1998,1520
1280 Malmö,ogifta,3,Män,1999,1366
1280 Malmö,ogifta,3,Män,2000,1411
1280 Malmö,ogifta,3,Män,2001,1375
1280 Malmö,ogifta,3,Män,2002,1314
1280 Malmö,ogifta,3,Män,2003,1309
1280 Malmö,ogifta,3,Män,2004,1358
1280 Malmö,ogifta,3,Män,2005,1454
1280 Malmö,ogifta,3,Män,2006,1449
1280 Malmö,ogifta,3,Män,2007,1579
1280 Malmö,ogifta,3,Män,2008,1652
1280 Malmö,ogifta,3,Män,2009,1873
1280 Malmö,ogifta,3,Män,2010,1895
1280 Malmö,ogifta,3,Män,2011,2042
1280 Malmö,ogifta,3,Män,2012,2228
1280 Malmö,ogifta,3,Män,2013,2286
1280 Malmö,ogifta,3,Män,2014,2195
1280 Malmö,ogifta,3,Män,2015,2305
1280 Malmö,ogifta,3,Män,2016,2302
1280 Malmö,ogifta,3,Män,2017,2463
1280 Malmö,ogifta,3,Män,2018,2411
1280 Malmö,ogifta,3,Män,2019,2362
1280 Malmö,ogifta,3,Män,2020,2326
1280 Malmö,ogifta,3,Kvinnor,1968,1774
1280 Malmö,ogifta,3,Kvinnor,1969,1744
1280 Malmö,ogifta,3,Kvinnor,1970,1688
1280 Malmö,ogifta,3,Kvinnor,1971,1553
1280 Malmö,ogifta,3,Kvinnor,1972,1391
1280 Malmö,ogifta,3,Kvinnor,1973,1271
1280 Malmö,ogifta,3,Kvinnor,1974,1240
1280 Malmö,ogifta,3,Kvinnor,1975,1152
1280 Malmö,ogifta,3,Kvinnor,1976,1147
1280 Malmö,ogifta,3,Kvinnor,1977,1173
1280 Malmö,ogifta,3,Kvinnor,1978,1198
1280 Malmö,ogifta,3,Kvinnor,1979,1089
1280 Malmö,ogifta,3,Kvinnor,1980,995
1280 Malmö,ogifta,3,Kvinnor,1981,1061
1280 Malmö,ogifta,3,Kvinnor,1982,1023
1280 Malmö,ogifta,3,Kvinnor,1983,1042
1280 Malmö,ogifta,3,Kvinnor,1984,1045
1280 Malmö,ogifta,3,Kvinnor,1985,1041
1280 Malmö,ogifta,3,Kvinnor,1986,1022
1280 Malmö,ogifta,3,Kvinnor,1987,1079
