Kommunkod,Kommun,Parti,År,Antal
0163,Sollentuna,Moderaterna,1973,5322
0163,Sollentuna,ogiltiga valsedlar,1973,78
0163,Sollentuna,Socialdemokraterna,1973,8509
0163,Sollentuna,Sverigedemokraterna,1973,NA
0163,Sollentuna,Vänsterpartiet,1973,1560
0163,Sollentuna,övriga partier,1973,181
0180,Stockholm,Centerpartiet,1973,69687
0180,Stockholm,ej röstande,1973,57188
0180,Stockholm,Kristdemokraterna,1973,4627
0180,Stockholm,Liberalerna,1973,52728
0180,Stockholm,Miljöpartiet,1973,NA
0180,Stockholm,Moderaterna,1973,109549
0180,Stockholm,ogiltiga valsedlar,1973,1218
0180,Stockholm,Socialdemokraterna,1973,184758
0180,Stockholm,Sverigedemokraterna,1973,NA
0180,Stockholm,Vänsterpartiet,1973,43196
0180,Stockholm,övriga partier,1973,4841
0181,Södertälje,Centerpartiet,1973,9804
0181,Södertälje,ej röstande,1973,4570
0181,Södertälje,Kristdemokraterna,1973,656
0181,Södertälje,Liberalerna,1973,3436
0181,Södertälje,Miljöpartiet,1973,NA
0181,Södertälje,Moderaterna,1973,5901
0181,Södertälje,ogiltiga valsedlar,1973,99
0181,Södertälje,Socialdemokraterna,1973,19460
0181,Södertälje,Sverigedemokraterna,1973,NA
0181,Södertälje,Vänsterpartiet,1973,2767
0181,Södertälje,övriga partier,1973,308
0182,Nacka,Centerpartiet,1973,5351
0182,Nacka,ej röstande,1973,2640
0182,Nacka,Kristdemokraterna,1973,206
0182,Nacka,Liberalerna,1973,3434
0182,Nacka,Miljöpartiet,1973,NA
0182,Nacka,Moderaterna,1973,7783
0182,Nacka,ogiltiga valsedlar,1973,85
0182,Nacka,Socialdemokraterna,1973,10608
0182,Nacka,Sverigedemokraterna,1973,NA
0182,Nacka,Vänsterpartiet,1973,2301
0182,Nacka,övriga partier,1973,274
0183,Sundbyberg,Centerpartiet,1973,3289
0183,Sundbyberg,ej röstande,1973,2021
0183,Sundbyberg,Kristdemokraterna,1973,115
0183,Sundbyberg,Liberalerna,1973,1857
0183,Sundbyberg,Miljöpartiet,1973,NA
0183,Sundbyberg,Moderaterna,1973,2720
0183,Sundbyberg,ogiltiga valsedlar,1973,62
0183,Sundbyberg,Socialdemokraterna,1973,9481
0183,Sundbyberg,Sverigedemokraterna,1973,NA
0183,Sundbyberg,Vänsterpartiet,1973,1739
0183,Sundbyberg,övriga partier,1973,212
0184,Solna,Centerpartiet,1973,6114
0184,Solna,ej röstande,1973,4005
0184,Solna,Kristdemokraterna,1973,390
0184,Solna,Liberalerna,1973,4257
0184,Solna,Miljöpartiet,1973,NA
0184,Solna,Moderaterna,1973,8406
0184,Solna,ogiltiga valsedlar,1973,91
0184,Solna,Socialdemokraterna,1973,14265
0184,Solna,Sverigedemokraterna,1973,NA
0184,Solna,Vänsterpartiet,1973,3044
0184,Solna,övriga partier,1973,433
0186,Lidingö,Centerpartiet,1973,3745
0186,Lidingö,ej röstande,1973,1603
0186,Lidingö,Kristdemokraterna,1973,120
0186,Lidingö,Liberalerna,1973,2647
0186,Lidingö,Miljöpartiet,1973,NA
0186,Lidingö,Moderaterna,1973,9115
0186,Lidingö,ogiltiga valsedlar,1973,38
0186,Lidingö,Socialdemokraterna,1973,5251
0186,Lidingö,Sverigedemokraterna,1973,NA
0186,Lidingö,Vänsterpartiet,1973,1166
0186,Lidingö,övriga partier,1973,221
0187,Vaxholm,Centerpartiet,1973,3349
0187,Vaxholm,ej röstande,1973,1092
0187,Vaxholm,Kristdemokraterna,1973,69
0187,Vaxholm,Liberalerna,1973,1432
0187,Vaxholm,Miljöpartiet,1973,NA
0187,Vaxholm,Moderaterna,1973,2897
0187,Vaxholm,ogiltiga valsedlar,1973,33
0187,Vaxholm,Socialdemokraterna,1973,4704
0187,Vaxholm,Sverigedemokraterna,1973,NA
0187,Vaxholm,Vänsterpartiet,1973,695
0187,Vaxholm,övriga partier,1973,43
0188,Norrtälje,Centerpartiet,1973,7438
0188,Norrtälje,ej röstande,1973,2744
0188,Norrtälje,Kristdemokraterna,1973,505
0188,Norrtälje,Liberalerna,1973,1864
0188,Norrtälje,Miljöpartiet,1973,NA
0188,Norrtälje,Moderaterna,1973,3336
0188,Norrtälje,ogiltiga valsedlar,1973,33
0188,Norrtälje,Socialdemokraterna,1973,10022
0188,Norrtälje,Sverigedemokraterna,1973,NA
0188,Norrtälje,Vänsterpartiet,1973,944
0188,Norrtälje,övriga partier,1973,51
0191,Sigtuna,Centerpartiet,1973,3968
0191,Sigtuna,ej röstande,1973,1437
0191,Sigtuna,Kristdemokraterna,1973,99
0191,Sigtuna,Liberalerna,1973,1406
0191,Sigtuna,Miljöpartiet,1973,NA
0191,Sigtuna,Moderaterna,1973,2173
0191,Sigtuna,ogiltiga valsedlar,1973,27
0191,Sigtuna,Socialdemokraterna,1973,5920
0191,Sigtuna,Sverigedemokraterna,1973,NA
0191,Sigtuna,Vänsterpartiet,1973,923
0191,Sigtuna,övriga partier,1973,68
0192,Nynäshamn,Centerpartiet,1973,2698
0192,Nynäshamn,ej röstande,1973,995
0192,Nynäshamn,Kristdemokraterna,1973,121
0192,Nynäshamn,Liberalerna,1973,871
0192,Nynäshamn,Miljöpartiet,1973,NA
0192,Nynäshamn,Moderaterna,1973,1027
0192,Nynäshamn,ogiltiga valsedlar,1973,20
0192,Nynäshamn,Socialdemokraterna,1973,6036
0192,Nynäshamn,Sverigedemokraterna,1973,NA
0192,Nynäshamn,Vänsterpartiet,1973,819
0192,Nynäshamn,övriga partier,1973,38
0305,Håbo,Centerpartiet,1973,1205
0305,Håbo,ej röstande,1973,323
0305,Håbo,Kristdemokraterna,1973,25
0305,Håbo,Liberalerna,1973,400
0305,Håbo,Miljöpartiet,1973,NA
0305,Håbo,Moderaterna,1973,563
0305,Håbo,ogiltiga valsedlar,1973,9
0305,Håbo,Socialdemokraterna,1973,1752
0305,Håbo,Sverigedemokraterna,1973,NA
0305,Håbo,Vänsterpartiet,1973,215
0305,Håbo,övriga partier,1973,8
0319,Älvkarleby,Centerpartiet,1973,917
0319,Älvkarleby,ej röstande,1973,510
0319,Älvkarleby,Kristdemokraterna,1973,34
0319,Älvkarleby,Liberalerna,1973,299
0319,Älvkarleby,Miljöpartiet,1973,NA
0319,Älvkarleby,Moderaterna,1973,245
0319,Älvkarleby,ogiltiga valsedlar,1973,5
0319,Älvkarleby,Socialdemokraterna,1973,4681
0319,Älvkarleby,Sverigedemokraterna,1973,NA
0319,Älvkarleby,Vänsterpartiet,1973,337
0319,Älvkarleby,övriga partier,1973,12
0330,Knivsta,Centerpartiet,1973,NA
0330,Knivsta,ej röstande,1973,NA
0330,Knivsta,Kristdemokraterna,1973,NA
0330,Knivsta,Liberalerna,1973,NA
0330,Knivsta,Miljöpartiet,1973,NA
0330,Knivsta,Moderaterna,1973,NA
0330,Knivsta,ogiltiga valsedlar,1973,NA
0330,Knivsta,Socialdemokraterna,1973,NA
0330,Knivsta,Sverigedemokraterna,1973,NA
0330,Knivsta,Vänsterpartiet,1973,NA
0330,Knivsta,övriga partier,1973,NA
0331,Heby,Centerpartiet,1973,3255
0331,Heby,ej röstande,1973,989
0331,Heby,Kristdemokraterna,1973,110
0331,Heby,Liberalerna,1973,587
0331,Heby,Miljöpartiet,1973,NA
0331,Heby,Moderaterna,1973,438
0331,Heby,ogiltiga valsedlar,1973,12
0331,Heby,Socialdemokraterna,1973,3534
0331,Heby,Sverigedemokraterna,1973,NA
0331,Heby,Vänsterpartiet,1973,394
0331,Heby,övriga partier,1973,48
0360,Tierp,Centerpartiet,1973,3934
0360,Tierp,ej röstande,1973,1156
0360,Tierp,Kristdemokraterna,1973,396
0360,Tierp,Liberalerna,1973,1059
0360,Tierp,Miljöpartiet,1973,NA
0360,Tierp,Moderaterna,1973,785
0360,Tierp,ogiltiga valsedlar,1973,10
0360,Tierp,Socialdemokraterna,1973,7445
0360,Tierp,Sverigedemokraterna,1973,NA
0360,Tierp,Vänsterpartiet,1973,365
0360,Tierp,övriga partier,1973,16
0380,Uppsala,Centerpartiet,1973,21381
0380,Uppsala,ej röstande,1973,9423
0380,Uppsala,Kristdemokraterna,1973,1287
0380,Uppsala,Liberalerna,1973,9575
0380,Uppsala,Miljöpartiet,1973,NA
0380,Uppsala,Moderaterna,1973,13016
0380,Uppsala,ogiltiga valsedlar,1973,161
0380,Uppsala,Socialdemokraterna,1973,32791
0380,Uppsala,Sverigedemokraterna,1973,NA
0380,Uppsala,Vänsterpartiet,1973,5717
0380,Uppsala,övriga partier,1973,825
0381,Enköping,Centerpartiet,1973,6447
0381,Enköping,ej röstande,1973,2249
0381,Enköping,Kristdemokraterna,1973,282
0381,Enköping,Liberalerna,1973,1351
0381,Enköping,Miljöpartiet,1973,NA
0381,Enköping,Moderaterna,1973,2371
0381,Enköping,ogiltiga valsedlar,1973,28
0381,Enköping,Socialdemokraterna,1973,8139
0381,Enköping,Sverigedemokraterna,1973,NA
0381,Enköping,Vänsterpartiet,1973,569
0381,Enköping,övriga partier,1973,26
0382,Östhammar,Centerpartiet,1973,3697
0382,Östhammar,ej röstande,1973,1281
0382,Östhammar,Kristdemokraterna,1973,233
0382,Östhammar,Liberalerna,1973,634
0382,Östhammar,Miljöpartiet,1973,NA
0382,Östhammar,Moderaterna,1973,1057
0382,Östhammar,ogiltiga valsedlar,1973,14
