"Riksdagsval - valresultat, antal röster efter region, parti mm och valår"

"0136 Haninge","Sverigedemokraterna",..,..,..,..,..,..,..,..,668,327,913,2524,5741,10042
"0136 Haninge","övriga partier",308,244,278,74,282,267,3519,1180,712,859,1136,825,1753,831
"0136 Haninge","ogiltiga valsedlar",62,121,328,466,415,565,771,668,893,572,762,492,483,456
"0136 Haninge","ej röstande",2708,2640,3592,3306,4307,6319,5719,5994,9243,10566,9924,9080,9296,8950
"0138 Tyresö","Moderaterna",2350,3011,4526,5964,5608,5123,6548,6644,7192,4860,9313,10995,9745,7818
"0138 Tyresö","Centerpartiet",3306,3034,1955,1616,832,1021,680,689,391,445,1174,1242,1289,2399
"0138 Tyresö","Liberalerna",1828,2489,2239,1025,3381,3261,2456,1947,1233,4104,2252,2200,1827,2099
"0138 Tyresö","Kristdemokraterna",104,86,74,140,..,358,961,690,2185,1749,1431,1440,1296,1741
"0138 Tyresö","Miljöpartiet",..,..,..,418,383,1169,840,1094,1026,1104,1460,2143,2376,1636
"0138 Tyresö","Socialdemokraterna",5411,5878,6432,6982,7453,7052,6278,8211,6939,7860,6321,5616,6777,7223
"0138 Tyresö","Vänsterpartiet",1213,1218,1453,1479,1356,1483,1026,1296,2057,1612,1176,1033,1220,1929
"0138 Tyresö","Sverigedemokraterna",..,..,..,..,..,..,..,..,102,231,363,1065,2710,4941
"0138 Tyresö","övriga partier",95,59,113,51,109,130,1784,551,335,348,623,330,996,474
"0138 Tyresö","ogiltiga valsedlar",41,71,171,286,193,322,381,366,479,310,423,223,230,222
"0138 Tyresö","ej röstande",1221,1144,1466,1354,1736,2717,2617,2814,4031,4560,4150,3892,3643,3294
"0139 Upplands-Bro","Moderaterna",968,1435,2124,2940,2765,2400,3200,3082,2995,2054,3860,4870,4064,3790
"0139 Upplands-Bro","Centerpartiet",1633,1701,1333,1078,698,727,481,448,243,320,532,581,595,984
"0139 Upplands-Bro","Liberalerna",589,1019,1083,531,1695,1610,1109,847,498,1760,930,1144,995,889
"0139 Upplands-Bro","Kristdemokraterna",64,52,131,189,..,258,715,544,1385,1239,1012,972,849,1234
"0139 Upplands-Bro","Miljöpartiet",..,..,..,224,218,564,336,457,440,436,609,943,958,532
"0139 Upplands-Bro","Socialdemokraterna",2982,3584,4314,4998,5164,4664,4015,5100,4018,4487,3925,3852,4397,4281
"0139 Upplands-Bro","Vänsterpartiet",511,506,698,696,670,725,468,655,1231,899,684,621,727,1089
"0139 Upplands-Bro","Sverigedemokraterna",..,..,..,..,..,..,..,..,36,87,320,723,1825,3291
"0139 Upplands-Bro","övriga partier",40,15,43,27,27,24,984,235,187,102,233,188,464,276
"0139 Upplands-Bro","ogiltiga valsedlar",11,34,56,138,102,169,180,202,222,164,222,127,121,140
"0139 Upplands-Bro","ej röstande",611,625,883,838,1131,1771,1681,1552,2540,2905,2742,2555,2525,2517
"0140 Nykvarn","Moderaterna",..,..,..,..,..,..,..,..,1142,803,1697,2353,1926,1865
"0140 Nykvarn","Centerpartiet",..,..,..,..,..,..,..,..,183,220,350,287,355,524
"0140 Nykvarn","Liberalerna",..,..,..,..,..,..,..,..,238,641,351,392,273,312
"0140 Nykvarn","Kristdemokraterna",..,..,..,..,..,..,..,..,365,374,286,284,234,415
"0140 Nykvarn","Miljöpartiet",..,..,..,..,..,..,..,..,176,192,203,347,339,204
"0140 Nykvarn","Socialdemokraterna",..,..,..,..,..,..,..,..,1851,1961,1597,1348,1603,1535
"0140 Nykvarn","Vänsterpartiet",..,..,..,..,..,..,..,..,345,237,139,143,155,241
"0140 Nykvarn","Sverigedemokraterna",..,..,..,..,..,..,..,..,38,85,140,410,1097,1681
"0140 Nykvarn","övriga partier",..,..,..,..,..,..,..,..,32,57,142,84,124,70
"0140 Nykvarn","ogiltiga valsedlar",..,..,..,..,..,..,..,..,103,87,105,63,74,69
"0140 Nykvarn","ej röstande",..,..,..,..,..,..,..,..,867,952,900,799,733,707
"0160 Täby","Moderaterna",6781,8067,11284,14649,14413,13971,16218,17529,18663,13275,20913,20898,19836,16687
"0160 Täby","Centerpartiet",4921,5025,3830,3071,1542,1824,1136,1328,626,751,2011,3221,2804,5094
"0160 Täby","Liberalerna",2609,3719,3591,1910,7272,6940,5369,5010,3278,9557,4359,4711,4944,4966
"0160 Täby","Kristdemokraterna",173,132,137,208,..,564,1878,1553,4797,3647,2909,3599,3072,3853
"0160 Täby","Miljöpartiet",..,..,..,787,576,1929,1404,1579,1130,1369,1469,2141,2687,1908
"0160 Täby","Socialdemokraterna",6646,7229,7506,8367,8887,7860,6504,8468,6811,7368,5379,4421,5487,6491
"0160 Täby","Vänsterpartiet",1291,1277,1476,1357,1204,1291,706,1042,1602,1285,810,794,976,1483
"0160 Täby","Sverigedemokraterna",..,..,..,..,..,..,..,..,51,352,411,958,2824,5293
"0160 Täby","övriga partier",172,157,205,43,98,224,2788,583,518,244,582,393,1161,611
"0160 Täby","ogiltiga valsedlar",61,110,205,318,258,436,470,505,520,327,359,245,226,230
"0160 Täby","ej röstande",1612,1523,2025,1870,2577,3849,3397,3549,5432,5863,5409,5154,4977,4541
"0162 Danderyd","Moderaterna",8391,8770,10032,11583,10965,10222,10169,10985,11413,8644,11744,10740,10627,9106
"0162 Danderyd","Centerpartiet",2833,2857,1921,1505,688,771,483,652,338,359,1242,2297,1516,2470
"0162 Danderyd","Liberalerna",2107,2624,2481,1347,4024,3520,2511,2272,1674,4733,2089,2075,2522,2450
"0162 Danderyd","Kristdemokraterna",126,63,84,141,..,304,1020,1119,2598,2047,1848,2744,2234,2212
"0162 Danderyd","Miljöpartiet",..,..,..,404,307,1040,667,614,495,612,594,798,999,825
"0162 Danderyd","Socialdemokraterna",3578,3305,3266,3416,3266,2861,2294,2687,2027,2145,1541,1195,1452,1760
"0162 Danderyd","Vänsterpartiet",725,624,715,571,492,471,284,336,503,396,230,250,287,516
"0162 Danderyd","Sverigedemokraterna",..,..,..,..,..,..,..,..,21,92,134,347,1126,2263
"0162 Danderyd","övriga partier",106,63,68,28,47,58,1408,259,179,143,235,157,501,295
"0162 Danderyd","ogiltiga valsedlar",41,60,127,162,127,199,144,175,166,103,91,72,65,64
"0162 Danderyd","ej röstande",1037,824,970,1001,1156,1702,1439,1627,2603,2738,2562,2167,2173,1930
"0163 Sollentuna","Moderaterna",5322,6834,8934,10741,10145,8950,10531,11459,12160,8479,14841,16507,15106,12260
"0163 Sollentuna","Centerpartiet",5657,5469,3844,2987,1690,1747,1125,1245,742,876,2152,2722,2337,4445
"0163 Sollentuna","Liberalerna",2670,4096,3643,1988,5903,5499,4402,3891,2528,7442,3917,3831,3689,3918
"0163 Sollentuna","Kristdemokraterna",355,285,331,448,..,800,2137,1461,4213,3429,2749,2991,2687,3290
"0163 Sollentuna","Miljöpartiet",..,..,..,836,552,1992,1493,1674,1455,1608,1883,2845,3448,2293
"0163 Sollentuna","Socialdemokraterna",8509,9118,9369,10286,10309,9393,8172,10542,8732,10103,7867,6952,8445,9107
"0163 Sollentuna","Vänsterpartiet",1560,1743,2079,1795,1612,1731,1126,1454,2468,2046,1478,1504,1762,2833
"0163 Sollentuna","Sverigedemokraterna",..,..,..,..,..,..,..,..,171,346,484,1235,2984,4910
"0163 Sollentuna","övriga partier",181,123,172,56,81,164,2647,729,597,221,719,497,1420,620
"0163 Sollentuna","ogiltiga valsedlar",78,135,212,350,266,422,414,483,570,377,422,316,307,258
"0163 Sollentuna","ej röstande",1756,1655,2178,2073,2558,4061,3508,3744,5886,6347,6020,5635,5940,5663
"0180 Stockholm","Moderaterna",109549,116787,132224,152817,136899,119567,133141,140982,147599,96205,169211,183421,160166,133731
"0180 Stockholm","Centerpartiet",69687,62543,40676,33062,16745,18195,12656,13996,7493,8109,27257,33895,28201,55428
"0180 Stockholm","Liberalerna",52728,62680,53261,26721,71639,62511,49510,44707,33027,89510,48476,45939,45365,47988
"0180 Stockholm","Kristdemokraterna",4627,3642,3483,4371,..,7834,21233,13303,39100,30228,24327,28244,24691,29776
"0180 Stockholm","Miljöpartiet",..,..,..,10021,7870,29894,22979,25595,24362,31027,45030,65351,64392,47044
"0180 Stockholm","Socialdemokraterna",184758,179710,171474,178565,172352,145524,129108,152722,119270,143640,111765,111688,124792,145245
