Hemmalag,Bortalag,Hemmamål,Bortamål,Publik,Domare,Arena,Datum,Säsong
Örgryte,Elfsborg,0,0,3254,Efon Ask,NA,1986-09-07,1986
IFK Norrköping,IFK Göteborg,2,0,7208,Erik Fredriksson,NA,1986-09-07,1986
Malmö FF,Halmstad,2,0,4139,Bo Karlsson,NA,1986-09-07,1986
Kalmar,AIK,1,5,1637,Bo Helén,NA,1986-09-07,1986
Brage,Öster,2,1,4276,Christer Drottz,NA,1986-09-07,1986
Öster,Malmö FF,0,2,3051,Leif Sundell,NA,1986-09-13,1986
Halmstad,Hammarby,1,0,2302,Efon Ask,NA,1986-09-13,1986
IFK Göteborg,Brage,1,1,5016,Rolf Ericsson,NA,1986-09-13,1986
Elfsborg,Kalmar,2,2,3033,Rune Larsson,NA,1986-09-13,1986
Djurgården,Örgryte,3,4,2339,Christer Drottz,NA,1986-09-13,1986
AIK,IFK Norrköping,1,1,3662,Sven-Erik Grönlund,NA,1986-09-15,1986
Hammarby,Djurgården,0,2,6637,Bo Karlsson,NA,1986-09-17,1986
AIK,Elfsborg,2,0,2865,Karl-Erik Davidsen,NA,1986-09-18,1986
Örgryte,Öster,0,2,1323,Jan Dolk,NA,1986-09-27,1986
Malmö FF,AIK,3,0,3571,Örjan Andersson,NA,1986-09-27,1986
Kalmar,Djurgården,3,1,578,Stefan Winqvist,NA,1986-09-27,1986
Hammarby,IFK Göteborg,1,1,3913,Bo Persson,NA,1986-09-27,1986
Elfsborg,Halmstad,1,1,2035,Efon Ask,NA,1986-09-27,1986
Brage,IFK Norrköping,0,1,5264,Ulf Eriksson,NA,1986-09-27,1986
Öster,Hammarby,0,0,1890,Ulf Eriksson,NA,1986-10-05,1986
IFK Norrköping,Kalmar,0,1,4473,Lars Carlsson,NA,1986-10-05,1986
Halmstad,Örgryte,2,0,2075,Erik Fredriksson,NA,1986-10-05,1986
IFK Göteborg,Malmö FF,0,1,9523,Bo Helén,NA,1986-10-05,1986
Djurgården,Elfsborg,3,0,468,Håkan Lundgren,NA,1986-10-05,1986
AIK,Brage,3,0,2264,Bo Karlsson,NA,1986-10-05,1986
Örgryte,Hammarby,0,0,4388,Erik Fredriksson,NA,1987-04-12,1987
Öster,Elfsborg,1,0,2578,Bo Helén,NA,1987-04-12,1987
Sundsvall,IFK Norrköping,1,2,5083,Håkan Lundgren,NA,1987-04-12,1987
Malmö FF,Västra Frölunda,2,2,5430,Bo Karlsson,NA,1987-04-12,1987
Brage,IFK Göteborg,0,2,6454,Ulf Eriksson,NA,1987-04-12,1987
AIK,Halmstad,3,0,5267,Karl-Erik Davidsen,NA,1987-04-12,1987
Västra Frölunda,Sundsvall,1,1,3315,Leif Sundell,NA,1987-04-20,1987
IFK Norrköping,AIK,2,0,5165,Bo Persson,NA,1987-04-21,1987
Hammarby,Malmö FF,2,2,3524,Örjan Andersson,NA,1987-04-21,1987
Halmstad,Brage,4,0,2127,Bo Karlsson,NA,1987-04-21,1987
Elfsborg,Örgryte,0,5,3003,Rune Larsson,NA,1987-04-21,1987
Malmö FF,AIK,0,1,3546,Ulf Eriksson,NA,1987-04-25,1987
Öster,Halmstad,4,0,2401,Christer Drottz,NA,1987-04-26,1987
Örgryte,Brage,0,0,3376,Stefan Winqvist,NA,1987-04-26,1987
Sundsvall,IFK Göteborg,0,0,11437,Bo Helén,NA,1987-04-26,1987
Hammarby,Västra Frölunda,3,0,3577,Sven-Erik Grönlund,NA,1987-04-26,1987
Elfsborg,IFK Norrköping,1,2,2424,Efon Ask,NA,1987-04-26,1987
IFK Göteborg,Hammarby,3,2,8166,Håkan Lundgren,NA,1987-04-30,1987
Västra Frölunda,Elfsborg,4,1,1118,Bo Helén,NA,1987-05-01,1987
IFK Norrköping,Öster,3,0,4900,Kjell Pettersson,NA,1987-05-01,1987
Halmstad,Örgryte,0,0,2528,Rolf Ericsson,NA,1987-05-01,1987
Brage,Malmö FF,0,3,3944,Rune Larsson,NA,1987-05-01,1987
AIK,Sundsvall,0,0,3298,Lars Carlsson,NA,1987-05-01,1987
Hammarby,IFK Norrköping,2,1,3108,Leif Sundell,NA,1987-05-09,1987
Öster,Brage,1,1,2041,Bo Persson,NA,1987-05-10,1987
Örgryte,AIK,0,0,3051,Örjan Andersson,NA,1987-05-10,1987
Malmö FF,Sundsvall,3,1,3508,Lars Carlsson,NA,1987-05-10,1987
Elfsborg,Halmstad,1,1,2727,Leif-Göte Enternäs,NA,1987-05-10,1987
Västra Frölunda,IFK Göteborg,2,2,7965,Efon Ask,NA,1987-05-11,1987
AIK,IFK Göteborg,1,2,7004,Bo Helén,NA,1987-05-14,1987
Sundsvall,Örgryte,2,4,1817,Ulf Eriksson,NA,1987-05-17,1987
IFK Norrköping,Västra Frölunda,2,0,3336,Sven-Erik Grönlund,NA,1987-05-17,1987
Halmstad,Hammarby,0,0,3036,Bo Karlsson,NA,1987-05-17,1987
Brage,Elfsborg,2,0,2594,Jan Dolk,NA,1987-05-17,1987
AIK,Öster,0,1,2197,Stefan Winqvist,NA,1987-05-17,1987
Örgryte,IFK Norrköping,1,1,1789,Karl-Erik Davidsen,NA,1987-05-20,1987
Sundsvall,Brage,2,0,4238,Christer Drottz,NA,1987-05-24,1987
Västra Frölunda,Örgryte,1,1,2573,Christer Drottz,NA,1987-05-27,1987
IFK Norrköping,Malmö FF,0,3,9926,Rolf Ericsson,NA,1987-05-28,1987
Hammarby,Öster,4,3,4045,Lars Carlsson,NA,1987-05-28,1987
Halmstad,Sundsvall,0,0,2037,Conny Kling,NA,1987-05-28,1987
IFK Göteborg,Elfsborg,2,0,6659,Bo Persson,NA,1987-05-28,1987
Brage,AIK,0,0,3448,Stefan Winqvist,NA,1987-05-28,1987
Västra Frölunda,Halmstad,1,0,1189,Efon Ask,NA,1987-06-06,1987
Öster,Sundsvall,1,0,2104,Bo Helén,NA,1987-06-08,1987
Örgryte,Malmö FF,3,7,2976,Leif Sundell,NA,1987-06-08,1987
IFK Norrköping,IFK Göteborg,0,0,10935,Bo Karlsson,NA,1987-06-08,1987
Hammarby,Brage,0,1,4472,Karl-Erik Davidsen,NA,1987-06-08,1987
Elfsborg,AIK,1,0,2242,Sven-Erik Grönlund,NA,1987-06-08,1987
Sundsvall,Elfsborg,1,1,3218,Rolf Ericsson,NA,1987-06-11,1987
Malmö FF,Öster,0,0,6072,Christer Drottz,NA,1987-06-11,1987
Halmstad,IFK Norrköping,1,2,2722,Håkan Lundgren,NA,1987-06-11,1987
IFK Göteborg,Örgryte,1,2,16470,Ulf Eriksson,NA,1987-06-11,1987
Brage,Västra Frölunda,1,1,3009,Leif-Göte Enternäs,NA,1987-06-11,1987
AIK,Hammarby,1,1,11626,Erik Fredriksson,NA,1987-06-11,1987
Öster,Örgryte,1,0,3014,Efon Ask,NA,1987-06-24,1987
Västra Frölunda,AIK,1,0,1613,Bo Karlsson,NA,1987-06-24,1987
IFK Norrköping,Brage,0,0,4919,Lars Carlsson,NA,1987-06-24,1987
Hammarby,Sundsvall,2,3,4266,Bo Persson,NA,1987-06-24,1987
IFK Göteborg,Halmstad,3,0,5865,Rune Larsson,NA,1987-06-24,1987
Elfsborg,Malmö FF,1,2,3663,Håkan Lundgren,NA,1987-06-24,1987
Malmö FF,Halmstad,3,1,4447,Örjan Andersson,NA,1987-07-01,1987
Elfsborg,Hammarby,0,0,3456,Kjell Pettersson,NA,1987-07-08,1987
IFK Göteborg,Västra Frölunda,6,1,7479,Bo Karlsson,NA,1987-07-10,1987
Örgryte,Öster,1,2,3446,Erik Fredriksson,NA,1987-07-12,1987
Sundsvall,Hammarby,0,2,5061,Jan Dolk,NA,1987-07-15,1987
Malmö FF,Elfsborg,3,0,4402,Ulf Eriksson,NA,1987-07-15,1987
Halmstad,IFK Göteborg,1,1,8938,Karl-Erik Davidsen,NA,1987-07-15,1987
Brage,IFK Norrköping,1,1,4634,Rune Larsson,NA,1987-07-15,1987
AIK,Västra Frölunda,2,3,3188,Bo Helén,NA,1987-07-15,1987
IFK Göteborg,Brage,2,3,3527,Sven-Erik Grönlund,NA,1987-07-19,1987
Elfsborg,Öster,1,1,2828,Bo Persson,NA,1987-07-19,1987
Västra Frölunda,Malmö FF,0,1,3128,Bo Persson,NA,1987-07-22,1987
IFK Norrköping,Sundsvall,1,1,5448,Stefan Winqvist,NA,1987-07-22,1987
Hammarby,Örgryte,0,0,5210,Bo Karlsson,NA,1987-07-22,1987
Halmstad,AIK,0,0,4713,Lars Carlsson,NA,1987-07-22,1987
IFK Göteborg,Öster,0,0,5942,Leif-Göte Enternäs,NA,1987-07-23,1987
Malmö FF,Hammarby,2,0,5885,Sven-Erik Grönlund,NA,1987-07-29,1987
Brage,Halmstad,1,1,4152,Örjan Andersson,NA,1987-07-29,1987
AIK,IFK Norrköping,0,0,3577,Leif Sundell,NA,1987-07-29,1987
Öster,Västra Frölunda,0,1,2667,Rune Larsson,NA,1987-07-30,1987
Öster,IFK Göteborg,0,3,5767,Håkan Lundgren,NA,1987-08-02,1987
Örgryte,Elfsborg,3,0,2835,Sven-Erik Grönlund,NA,1987-08-02,1987
Sundsvall,Västra Frölunda,2,0,3514,Efon Ask,NA,1987-08-02,1987
Sundsvall,Malmö FF,1,4,5429,Erik Fredriksson,NA,1987-08-09,1987
IFK Norrköping,Hammarby,4,2,5110,Leif-Göte Enternäs,NA,1987-08-09,1987
Halmstad,Elfsborg,4,1,3834,Rune Larsson,NA,1987-08-09,1987
Brage,Öster,1,0,3303,Lars Carlsson,NA,1987-08-09,1987
AIK,Örgryte,1,0,2398,Christer Drottz,NA,1987-08-09,1987
Öster,AIK,3,0,2733,Örjan Andersson,NA,1987-08-16,1987
Örgryte,Sundsvall,1,1,2556,Kjell Pettersson,NA,1987-08-16,1987
Malmö FF,IFK Göteborg,2,1,19226,Bo Helén,NA,1987-08-16,1987
Hammarby,Halmstad,6,0,3805,Christer Drottz,NA,1987-08-16,1987
Elfsborg,Brage,1,2,2525,Per Oja,NA,1987-08-16,1987
Västra Frölunda,IFK Norrköping,0,0,3141,Conny Kling,NA,1987-08-17,1987
IFK Göteborg,Malmö FF,1,2,10782,Erik Fredriksson,NA,1987-08-22,1987
Sundsvall,Öster,0,1,2317,Bo Persson,NA,1987-08-30,1987
Malmö FF,Örgryte,2,2,4909,Rune Larsson,NA,1987-08-30,1987
Halmstad,Västra Frölunda,1,0,2237,Jan Dolk,NA,1987-08-30,1987
IFK Göteborg,IFK Norrköping,3,2,4560,Karl-Erik Davidsen,NA,1987-08-30,1987
Brage,Hammarby,1,1,5040,Efon Ask,NA,1987-08-30,1987
AIK,Elfsborg,2,0,2716,Bo Karlsson,NA,1987-08-30,1987
Öster,Malmö FF,2,1,4864,Leif Sundell,NA,1987-09-02,1987
Örgryte,IFK Göteborg,1,4,15298,Håkan Lundgren,NA,1987-09-02,1987
IFK Norrköping,Halmstad,2,0,3172,Erik Fredriksson,NA,1987-09-02,1987
Hammarby,AIK,1,1,6745,Karl-Erik Davidsen,NA,1987-09-02,1987
Elfsborg,Sundsvall,2,6,2044,Örjan Andersson,NA,1987-09-02,1987
Västra Frölunda,Brage,0,0,1309,Stefan Winqvist,NA,1987-09-03,1987
IFK Göteborg,AIK,1,1,4056,Jan Dolk,NA,1987-09-05,1987
Västra Frölunda,Öster,0,2,571,Sven-Erik Grönlund,NA,1987-09-06,1987
IFK Norrköping,Örgryte,3,1,1969,Rune Larsson,NA,1987-09-06,1987
Hammarby,Elfsborg,2,3,1111,Bo Persson,NA,1987-09-06,1987
Halmstad,Malmö FF,2,2,2553,Örjan Andersson,NA,1987-09-06,1987
Brage,Sundsvall,3,1,2718,Conny Kling,NA,1987-09-06,1987
Öster,Hammarby,1,6,2529,Erik Fredriksson,NA,1987-09-12,1987
Örgryte,Västra Frölunda,0,0,2866,Karl-Erik Davidsen,NA,1987-09-12,1987
Sundsvall,Halmstad,1,1,3107,Bo Helén,NA,1987-09-12,1987
Malmö FF,IFK Norrköping,2,0,2295,Håkan Lundgren,NA,1987-09-12,1987
Elfsborg,IFK Göteborg,3,1,3889,Leif Sundell,NA,1987-09-12,1987
AIK,Brage,0,0,3217,Bo Karlsson,NA,1987-09-12,1987
Västra Frölunda,Hammarby,1,1,973,Ulf Eriksson,NA,1987-09-26,1987
IFK Norrköping,Elfsborg,3,0,2222,Germund Nilsson,NA,1987-09-26,1987
Halmstad,Öster,2,1,3187,Rune Larsson,NA,1987-09-26,1987
IFK Göteborg,Sundsvall,1,1,2518,Kjell Pettersson,NA,1987-09-26,1987
Brage,Örgryte,4,0,1453,Christer Drottz,NA,1987-09-26,1987
AIK,Malmö FF,1,1,4276,Karl-Erik Davidsen,NA,1987-09-26,1987
Öster,IFK Norrköping,0,2,4356,Rolf Ericsson,NA,1987-10-04,1987
Örgryte,Halmstad,7,3,4488,Efon Ask,NA,1987-10-04,1987
Sundsvall,AIK,0,1,5132,Bo Helén,NA,1987-10-04,1987
Malmö FF,Brage,3,0,2772,Erik Fredriksson,NA,1987-10-04,1987
Hammarby,IFK Göteborg,0,0,3897,Stefan Winqvist,NA,1987-10-04,1987
Elfsborg,Västra Frölunda,1,2,2001,Lars Carlsson,NA,1987-10-04,1987
Sundsvall,Öster,0,1,4781,Rune Larsson,NA,1988-04-10,1988
Malmö FF,Örgryte,3,2,4645,Ulf Eriksson,NA,1988-04-10,1988
Djurgården,Västra Frölunda,4,2,3966,Håkan Lundgren,NA,1988-04-10,1988
IFK Göteborg,Brage,3,0,5539,Bo Helén,NA,1988-04-11,1988
AIK,IFK Norrköping,2,0,5354,Efon Ask,NA,1988-04-11,1988
Gais,Hammarby,2,0,5702,Erik Fredriksson,NA,1988-04-12,1988
Öster,Gais,1,0,3211,Rolf Ericsson,NA,1988-04-17,1988
Västra Frölunda,IFK Göteborg,0,0,4015,Rune Larsson,NA,1988-04-17,1988
Brage,AIK,2,1,3633,Karl-Erik Davidsen,NA,1988-04-17,1988
Örgryte,Djurgården,1,0,3185,Bo Persson,NA,1988-04-18,1988
IFK Norrköping,Sundsvall,0,1,3490,Christer Drottz,NA,1988-04-18,1988
Hammarby,Malmö FF,2,1,6013,Örjan Andersson,NA,1988-04-18,1988
IFK Göteborg,Sundsvall,0,1,4544,Karl-Erik Davidsen,NA,1988-04-23,1988
Öster,Djurgården,0,0,2891,Leif Sundell,NA,1988-04-24,1988
Västra Frölunda,AIK,3,0,1618,Erik Fredriksson,NA,1988-04-24,1988
IFK Norrköping,Malmö FF,3,1,3899,Bo Karlsson,NA,1988-04-24,1988
Hammarby,Örgryte,0,1,5195,Lars Carlsson,NA,1988-04-24,1988
Brage,Gais,1,0,3851,Stefan Winqvist,NA,1988-04-24,1988
Sundsvall,Brage,1,1,6373,Rolf Ericsson,NA,1988-05-01,1988
Gais,IFK Norrköping,2,3,6497,Christer Drottz,NA,1988-05-01,1988
Djurgården,Hammarby,2,0,13410,Bo Helén,NA,1988-05-01,1988
Örgryte,Västra Frölunda,2,0,3711,Rune Larsson,NA,1988-05-02,1988
AIK,IFK Göteborg,1,2,6651,Ulf Eriksson,NA,1988-05-02,1988
Malmö FF,Öster,2,1,4847,Håkan Lundgren,NA,1988-05-03,1988
Sundsvall,Hammarby,2,1,5545,Stefan Winqvist,NA,1988-05-08,1988
Malmö FF,Djurgården,2,2,7728,Erik Fredriksson,NA,1988-05-08,1988
Gais,Örgryte,1,3,11776,Karl-Erik Davidsen,NA,1988-05-08,1988
Brage,Västra Frölunda,1,1,4541,Lars Carlsson,NA,1988-05-08,1988
IFK Göteborg,IFK Norrköping,2,1,7742,Leif Sundell,NA,1988-05-09,1988
AIK,Öster,0,0,3989,Germund Nilsson,NA,1988-05-09,1988
Öster,IFK Göteborg,0,1,6204,Örjan Andersson,NA,1988-05-15,1988
Västra Frölunda,Malmö FF,0,2,2191,Bo Persson,NA,1988-05-15,1988
Djurgården,Gais,6,1,6126,Sven-Erik Grönlund,NA,1988-05-15,1988
Örgryte,Sundsvall,1,2,4215,Rolf Ericsson,NA,1988-05-16,1988
IFK Norrköping,Brage,3,0,4126,Efon Ask,NA,1988-05-16,1988
Hammarby,AIK,1,2,7758,Bo Karlsson,NA,1988-05-16,1988
Gais,IFK Göteborg,0,1,18286,Erik Fredriksson,NA,1988-05-18,1988
Örgryte,Öster,1,2,2444,Stefan Winqvist,NA,1988-05-19,1988
Sundsvall,AIK,2,0,5012,Bo Helén,NA,1988-05-19,1988
Malmö FF,Brage,2,0,4466,Christer Drottz,NA,1988-05-19,1988
Hammarby,Västra Frölunda,1,2,2511,Karl-Erik Davidsen,NA,1988-05-19,1988
Djurgården,IFK Norrköping,0,3,6485,Lars Carlsson,NA,1988-05-19,1988
Västra Frölunda,Sundsvall,1,1,1134,Leif Sundell,NA,1988-05-28,1988
Öster,Hammarby,1,1,2894,Erik Fredriksson,NA,1988-05-29,1988
IFK Norrköping,Örgryte,3,0,4774,Bo Karlsson,NA,1988-05-29,1988
IFK Göteborg,Malmö FF,1,3,9786,Bo Helén,NA,1988-05-29,1988
Brage,Djurgården,1,1,4561,Ulf Eriksson,NA,1988-05-29,1988
AIK,Gais,0,0,3408,Håkan Lundgren,NA,1988-05-29,1988
Sundsvall,Malmö FF,2,3,9608,Germund Nilsson,NA,1988-06-05,1988
Gais,Västra Frölunda,2,0,5163,Örjan Andersson,NA,1988-06-05,1988
Brage,Hammarby,1,0,3343,Sven-Erik Grönlund,NA,1988-06-05,1988
IFK Göteborg,Örgryte,2,1,19265,Erik Fredriksson,NA,1988-06-06,1988
AIK,Djurgården,0,0,16869,Ulf Eriksson,NA,1988-06-06,1988
IFK Norrköping,Öster,3,0,3580,Bo Persson,NA,1988-06-07,1988
Öster,Brage,1,1,1663,Håkan Lundgren,NA,1988-06-12,1988
Västra Frölunda,IFK Norrköping,2,3,1002,Rolf Ericsson,NA,1988-06-12,1988
Malmö FF,Gais,2,0,4942,Rune Larsson,NA,1988-06-12,1988
Djurgården,Sundsvall,4,2,4481,Bo Helén,NA,1988-06-12,1988
Örgryte,AIK,0,1,2744,Lars Carlsson,NA,1988-06-13,1988
Hammarby,IFK Göteborg,2,1,5255,Sven-Erik Grönlund,NA,1988-06-13,1988
IFK Norrköping,Hammarby,6,0,5488,Stefan Winqvist,NA,1988-06-16,1988
IFK Göteborg,Djurgården,1,1,5121,Efon Ask,NA,1988-06-16,1988
Brage,Örgryte,1,1,3522,Bo Persson,NA,1988-06-16,1988
AIK,Malmö FF,1,5,3768,Örjan Andersson,NA,1988-06-16,1988
Öster,Västra Frölunda,1,2,1772,Bo Helén,NA,1988-06-19,1988
Malmö FF,AIK,2,0,5902,Håkan Lundgren,NA,1988-06-19,1988
Gais,Sundsvall,1,1,3543,Bo Karlsson,NA,1988-06-19,1988
Djurgården,IFK Göteborg,0,1,7581,Lars Carlsson,NA,1988-06-19,1988
Hammarby,IFK Norrköping,0,0,4561,Ulf Eriksson,NA,1988-06-20,1988
Västra Frölunda,Öster,3,3,730,Håkan Lundgren,NA,1988-06-22,1988
Örgryte,Brage,3,0,1579,Rune Larsson,NA,1988-07-03,1988
Sundsvall,Gais,1,1,3568,Leif Sundell,NA,1988-07-03,1988
Västra Frölunda,Djurgården,0,3,2048,Lars Carlsson,NA,1988-07-17,1988
Hammarby,Gais,1,2,3524,Bo Persson,NA,1988-07-17,1988
Örgryte,Malmö FF,0,1,5531,Håkan Lundgren,NA,1988-07-19,1988
Öster,Sundsvall,0,4,2304,Stefan Winqvist,NA,1988-07-20,1988
IFK Norrköping,AIK,0,1,4220,Bo Helén,NA,1988-07-20,1988
Brage,IFK Göteborg,0,3,4539,Christer Drottz,NA,1988-07-20,1988
Sundsvall,IFK Norrköping,2,2,6612,Bo Karlsson,NA,1988-07-24,1988
Malmö FF,Hammarby,2,0,5119,Karl-Erik Davidsen,NA,1988-07-24,1988
Gais,Öster,1,0,3555,Ulf Eriksson,NA,1988-07-24,1988
Djurgården,Örgryte,1,1,2727,Sven-Erik Grönlund,NA,1988-07-24,1988
IFK Göteborg,Västra Frölunda,1,1,7405,Erik Fredriksson,NA,1988-07-25,1988
AIK,Brage,2,2,1543,Örjan Andersson,NA,1988-07-26,1988
Djurgården,Öster,2,2,1352,Håkan Lundgren,NA,1988-08-02,1988
Sundsvall,IFK Göteborg,1,0,8226,Bo Karlsson,NA,1988-08-03,1988
Gais,Brage,2,1,4116,Lars Carlsson,NA,1988-08-03,1988
Örgryte,Hammarby,3,0,1741,Karl-Erik Davidsen,NA,1988-08-04,1988
Malmö FF,IFK Norrköping,2,1,6418,Bo Helén,NA,1988-08-04,1988
AIK,Västra Frölunda,4,2,2185,Leif Sundell,NA,1988-08-04,1988
Västra Frölunda,Örgryte,0,1,3146,Ulf Eriksson,NA,1988-08-07,1988
Brage,Sundsvall,2,0,4126,Efon Ask,NA,1988-08-07,1988
IFK Norrköping,Gais,3,2,4179,Germund Nilsson,NA,1988-08-08,1988
Hammarby,Djurgården,0,4,6612,Örjan Andersson,NA,1988-08-08,1988
IFK Göteborg,AIK,3,1,6283,Stefan Winqvist,NA,1988-08-08,1988
Öster,Malmö FF,0,2,3288,Leif Sundell,NA,1988-08-09,1988
Västra Frölunda,Gais,0,2,4140,Leif Sundell,NA,1988-08-13,1988
Öster,IFK Norrköping,1,1,2214,Lars Carlsson,NA,1988-08-14,1988
Malmö FF,Sundsvall,1,1,5984,Örjan Andersson,NA,1988-08-14,1988
Djurgården,AIK,0,0,11063,Erik Fredriksson,NA,1988-08-14,1988
Örgryte,IFK Göteborg,1,1,12286,Bo Helén,NA,1988-08-15,1988
Hammarby,Brage,2,0,1523,Bo Karlsson,NA,1988-08-15,1988
Sundsvall,Djurgården,0,2,7805,Christer Drottz,NA,1988-08-21,1988
Gais,Malmö FF,3,2,7357,Rolf Ericsson,NA,1988-08-21,1988
Brage,Öster,4,1,3538,Rune Larsson,NA,1988-08-21,1988
IFK Norrköping,Västra Frölunda,0,1,3056,Håkan Lundgren,NA,1988-08-22,1988
IFK Göteborg,Hammarby,5,1,3983,Germund Nilsson,NA,1988-08-22,1988
AIK,Örgryte,2,0,2822,Ulf Eriksson,NA,1988-08-22,1988
Gais,Djurgården,1,2,5750,Efon Ask,NA,1988-08-24,1988
Sundsvall,Örgryte,0,1,4429,Bo Persson,NA,1988-08-25,1988
Malmö FF,Västra Frölunda,2,0,3369,Rune Larsson,NA,1988-08-25,1988
IFK Göteborg,Öster,1,1,4451,Sven-Erik Grönlund,NA,1988-08-25,1988
Brage,IFK Norrköping,3,1,3657,Stefan Winqvist,NA,1988-08-25,1988
AIK,Hammarby,0,0,5987,Håkan Lundgren,NA,1988-08-25,1988
Öster,AIK,3,0,2478,Erik Fredriksson,NA,1988-08-28,1988
Örgryte,Gais,1,1,8965,Bo Karlsson,NA,1988-08-28,1988
Västra Frölunda,Brage,1,0,888,Karl-Erik Davidsen,NA,1988-08-28,1988
IFK Norrköping,IFK Göteborg,1,3,6205,Rune Larsson,NA,1988-08-28,1988
Hammarby,Sundsvall,3,0,2086,Bo Helén,NA,1988-08-28,1988
Djurgården,Malmö FF,2,3,7543,Ulf Eriksson,NA,1988-08-28,1988
Gais,AIK,1,0,3206,Bo Karlsson,NA,1988-10-08,1988
Örgryte,IFK Norrköping,2,1,2223,Bo Persson,NA,1988-10-09,1988
Sundsvall,Västra Frölunda,0,0,3469,Ulf Eriksson,NA,1988-10-09,1988
Malmö FF,IFK Göteborg,1,3,4717,Rune Larsson,NA,1988-10-09,1988
Hammarby,Öster,3,0,5000,Sven-Erik Grönlund,NA,1988-10-09,1988
Djurgården,Brage,0,0,1644,Christer Drottz,NA,1988-10-09,1988
Öster,Örgryte,1,1,6812,Håkan Lundgren,NA,1988-10-22,1988
Västra Frölunda,Hammarby,3,1,1679,Bo Helén,NA,1988-10-22,1988
IFK Norrköping,Djurgården,1,2,4400,Stefan Winqvist,NA,1988-10-22,1988
IFK Göteborg,Gais,2,0,12310,Karl-Erik Davidsen,NA,1988-10-22,1988
Brage,Malmö FF,2,1,3077,Rolf Ericsson,NA,1988-10-22,1988
AIK,Sundsvall,1,2,3383,Efon Ask,NA,1988-10-22,1988
Västra Frölunda,IFK Norrköping,1,4,2022,Bo Persson,NA,1989-04-08,1989
Halmstad,Örebro,1,2,5462,Erik Fredriksson,NA,1989-04-09,1989
Örgryte,Sundsvall,4,3,2150,Karl-Erik Davidsen,NA,1989-04-09,1989
Malmö FF,Djurgården,0,1,2150,Håkan Lundgren,NA,1989-04-09,1989
Brage,IFK Göteborg,0,2,4819,Rune Larsson,NA,1989-04-09,1989
AIK,Gais,1,1,4922,Bo Helén,NA,1989-04-09,1989
Gais,Västra Frölunda,1,1,4350,Leif Sundell,NA,1989-04-15,1989
Örebro,Brage,1,1,5415,Rolf Ericsson,NA,1989-04-16,1989
Sundsvall,AIK,0,1,2213,Christer Drottz,NA,1989-04-16,1989
IFK Norrköping,Halmstad,1,1,3257,Örjan Andersson,NA,1989-04-16,1989
IFK Göteborg,Malmö FF,1,1,4795,Bo Karlsson,NA,1989-04-16,1989
Djurgården,Örgryte,1,2,1994,Ulf Eriksson,NA,1989-04-16,1989
Gais,IFK Norrköping,1,0,2577,Germund Nilsson,NA,1989-04-22,1989
Västra Frölunda,IFK Göteborg,0,5,2597,Erik Fredriksson,NA,1989-04-23,1989
Malmö FF,Sundsvall,2,0,2919,Leif Sundell,NA,1989-04-23,1989
Halmstad,Djurgården,3,1,3891,Bo Helén,NA,1989-04-23,1989
Brage,Örgryte,1,1,3626,Håkan Lundgren,NA,1989-04-23,1989
AIK,Örebro,0,0,3274,Bo Persson,NA,1989-04-23,1989
IFK Göteborg,Halmstad,1,2,2750,Rolf Ericsson,NA,1989-04-29,1989
Örgryte,Malmö FF,1,1,3075,Bo Karlsson,NA,1989-04-30,1989
Örebro,Västra Frölunda,3,1,4352,Rune Larsson,NA,1989-04-30,1989
Sundsvall,Gais,0,1,2092,Ulf Eriksson,NA,1989-04-30,1989
IFK Norrköping,AIK,2,2,3680,Karl-Erik Davidsen,NA,1989-04-30,1989
Djurgården,Brage,1,0,2185,Lars Carlsson,NA,1989-04-30,1989
Örgryte,Västra Frölunda,0,0,1964,Bo Helén,NA,1989-05-09,1989
Örebro,IFK Norrköping,0,2,7185,Leif Sundell,NA,1989-05-11,1989
Sundsvall,Brage,2,3,1572,Rolf Ericsson,NA,1989-05-11,1989
Malmö FF,Halmstad,2,0,5840,Bo Persson,NA,1989-05-11,1989
IFK Göteborg,Gais,2,2,12180,Håkan Lundgren,NA,1989-05-11,1989
Djurgården,AIK,0,0,9222,Bo Karlsson,NA,1989-05-11,1989
Västra Frölunda,Djurgården,0,1,902,Karl-Erik Davidsen,NA,1989-05-15,1989
IFK Norrköping,Sundsvall,0,0,3733,Erik Fredriksson,NA,1989-05-15,1989
Halmstad,Örgryte,1,1,4767,Germund Nilsson,NA,1989-05-15,1989
Gais,Örebro,0,1,4259,Rune Larsson,NA,1989-05-15,1989
Brage,Malmö FF,0,1,4188,Örjan Andersson,NA,1989-05-15,1989
AIK,IFK Göteborg,0,0,6068,Ulf Eriksson,NA,1989-05-15,1989
Västra Frölunda,AIK,0,5,554,Per-Olof Ståhl,NA,1989-05-20,1989
Örgryte,IFK Göteborg,0,2,8937,Rune Larsson,NA,1989-05-21,1989
Malmö FF,Örebro,3,0,4773,Bo Helén,NA,1989-05-21,1989
Halmstad,Gais,1,0,5079,Erik Fredriksson,NA,1989-05-21,1989
Djurgården,Sundsvall,1,1,2730,Christer Drottz,NA,1989-05-21,1989
Brage,IFK Norrköping,3,4,4616,Anders Frisk,NA,1989-05-21,1989
Gais,Brage,1,1,2013,Christer Fällström,NA,1989-05-27,1989
Örebro,Örgryte,1,1,4672,Bo Karlsson,NA,1989-05-28,1989
