Namn,K,M
Criselda,7,0
Crisencia,2,0
Crisha,2,0
Crisolita,2,0
Crispina,4,0
Crissoula,2,0
Crissy,2,0
Crista,11,0
Cristal,17,0
Cristall,2,0
Cristalle,2,0
Cristel,82,0
Cristell,4,0
Cristella,2,0
Cristelle,12,0
Cristeta,3,0
Cristhel,3,0
Cristhina,2,0
Cristhine,2,0
Cristiana,40,0
Cristiane,23,0
Cristie,2,0
Cristin,105,0
Cristina,1505,0
Cristina-Daniela,2,0
Cristina-Dorina,2,0
Cristina-Elena,3,0
Cristina-Liliana,2,0
Cristina-Maria,3,0
Cristina-Patricia,2,0
Cristina-Ramona,2,0
Cristine,95,0
Cristita,5,0
Cristl,2,0
Cristy,19,0
Crizz,2,0
Cronja,2,0
Crystal,56,0
Crystel,3,0
Csenge,18,0
Csilla,96,0
Cuc,5,0
Cui,9,0
Cuicui,5,0
Cuihua,2,0
Cuijuan,2,0
Cuiping,5,0
Cuixia,2,0
Cuixian,2,0
Cuizhen,3,0
Cuizhi,2,0
Culina,2,0
Culyet,3,0
Curie,2,0
Custodia,2,0
Cveta,33,0
Cvetana,4,0
Cvetanka,25,0
Cvetka,3,0
Cvija,7,0
Cvijeta,25,0
Cybel,2,0
Cybelle,2,0
Cybil,3,0
Cydney,2,0
Cylia,2,0
Cyma,2,0
Cyme,6,0
Cyndee,2,0
Cyndi,3,0
Cyndia,2,0
Cyndie,4,0
Cyntia,13,0
Cyra,3,0
Cyrene,13,0
Cyréne,5,0
Cyrenia,2,0
Cyrielle,5,0
Cyrilla,3,0
Cyrin,3,0
Cyrine,24,0
Czarina,2,0
Czeslawa,27,0
Cäcilia,4,0
Cäcilie,3,0
Cäthrin,3,0
Daad,32,0
Daaed,2,0
Daahiro,2,0
Daania,3,0
Daanya,3,0
Daba,2,0
Dabia,4,0
Dabra,2,0
Daca,2,0
Dace,46,0
Daciana,4,0
Dacil,3,0
Daebo,2,0
Daed,19,0
Daelyn,2,0
Daenerys,4,0
Daeng,15,0
Daeun,3,0
Dafina,207,0
Dafinë,2,0
Dafine,4,0
Dafinka,8,0
Dafna,3,0
Dafne,38,0
Dafni,24,0
Daga,262,0
Dagan,5,0
Dagbjört,7,0
Dagfrid,3,0
Daghild,2,0
Dagmar,1428,0
Dagmara,109,0
Dagmawit,14,0
Dagmo,2,0
Dagna,7,0
Dagnija,10,0
Dagny,1519,0
Dagný,7,0
Dagrid,2,0
Dagrun,15,0
Dagrún,4,0
Dagrunn,2,0
Dagvor,2,0
Dahab,51,0
Dahaba,7,0
Dahabo,105,0
Dahae,2,0
Dahba,2,0
Dahin,2,0
Dahira,3,0
Dahiro,5,0
Dahlia,332,0
Dahouk,2,0
Dahran,10,0
Daiana,38,0
Daiane,6,0
Daianna,2,0
Daiany,2,0
Daicy,2,0
Daida,2,0
Daiga,21,0
Daila,7,0
Dailin,2,0
Daily,12,0
Daiman,3,0
Daime,6,0
Daina,72,0
Dainah,3,0
Dainora,13,0
Daira,2,0
Dairiimaa,2,0
Daisey,2,0
Daisi,3,0
Daisie,4,0
Daissy,4,0
Daisy,648,0
Daisy-Li,2,0
Daisy-May,3,0
Daiva,84,0
Daivi,2,0
Daizy,7,0
Dajana,188,0
Dajanna,4,0
Dajla,7,0
Dajna,2,0
Dajsy,3,0
Dakhila,2,0
Daksha,5,0
Dala,22,0
Dalaa,42,0
Dalaal,3,0
Dalala,8,0
Dalale,3,0
Dalali,2,0
Dalaram,2,0
Dalea,4,0
Daleda,4,0
Daleela,2,0
Daleen,4,0
Dalel,2,0
Dalena,4,0
Dalenda,4,0
Dalí,2,0
Dalia,842,0
Daliah,10,0
Daliborka,62,0
Dalicia,2,0
Dalida,61,0
Dalie,6,0
Dalija,16,0
Dalila,154,0
Dalilah,3,0
Dalile,2,0
Dalina,43,0
DaLinda,8,0
Daline,4,0
Dalis,3,0
Dalita,9,0
Daliya,22,0
Dalja,12,0
Dalla,7,0
Dallal,10,0
Dallandyshe,6,0
Dallendyshe,4,0
Dallia,2,0
Dally,3,0
Dallyn,2,0
Dalma,26,0
Dalmira,2,0
Dalva,4,0
Dalveen,2,0
Dalvin,4,0
Dalya,160,0
Dalyah,2,0
Dama,3,0
Damali,3,0
Damalie,2,0
Damaris,31,0
Damarys,2,0
Damayanthi,6,0
Damayanti,3,0
Damea,2,0
Damia,4,0
Damiana,10,0
Damini,2,0
Damira,19,0
Damisa,2,0
Damita,4,0
Damjana,7,0
Damla,82,0
Damlanur,2,0
Dammika,8,0
Damya,3,0
Damyana,2,0
Danae,13,0
Danah,23,0
Danait,110,0
Danat,3,0
Danawit,3,0
Danayet,3,0
Danayit,11,0
Danayt,26,0
Danbi,2,0
Dance,3,0
Danche,2,0
Dandan,20,0
Danea,11,0
Daneen,8,0
Daneez,2,0
Daneh,2,0
Danela,6,0
Danelia,3,0
Danella,9,0
Danelle,2,0
Danessa,4,0
Danfang,2,0
Danfeng,6,0
Danguole,17,0
Danguolé,3,0
Dania,616,0
Daniah,42,0
Danibel,2,0
Danica,287,0
Daniea,3,0
Daniela,2241,0
Daniéla,29,0
Daniela-Elena,5,0
Daniela-Ileana,2,0
Daniela-Mariana,2,0
Daniéle,4,0
Danieli,2,0
Daniella,2155,0
Daniélla,2,0
Daniëlle,11,0
Daniélle,16,0
Danielly,2,0
Danija,4,0
Danijela,538,0
Danijella,9,0
Danika,3,0
Danilla,3,0
Danina,10,0
Danine,2,0
Danique,5,0
Danira,19,0
Danisa,8,0
Danise,2,0
Danissa,5,0
Danit,2,0
Danita,13,0
Danitza,6,0
Daniya,12,0
Daniyah,4,0
Daniz,5,0
Daniza,5,0
Danja,29,0
Danjela,8,0
Danjella,2,0
Danjing,2,0
Danka,49,0
Danli,2,0
Dannia,5,0
Danniela,6,0
Danniella,5,0
Dannielle,6,0
Danning,2,0
Danqin,2,0
Dantella,2,0
Danuta,710,0
Danute,20,0
Danuté,2,0
Danuza,2,0
Danya,96,0
Danyah,9,0
Danyang,5,0
Danyela,4,0
Danyella,3,0
Danyi,2,0
Danyia,2,0
Daojai,2,0
Daonoi,2,0
Daorsa,12,0
Daoruang,2,0
Daorueang,3,0
Daorung,5,0
Daphine,6,0
Daphna,3,0
Daphne,198,0
Daphné,5,0
Daphnée,2,0
Daphni,3,0
Daphnie,4,0
Daphny,2,0
Daphrose,6,0
Darak,2,0
Darakshan,2,0
Daranee,11,0
Daraporn,3,0
Dararat,12,0
Dararto,2,0
Darartu,2,0
Darcey,3,0
Darci,2,0
Darcia,3,0
Darcie,2,0
Dardana,9,0
Dardane,8,0
Darein,2,0
Darejan,4,0
Daria-Ioana,2,0
Daria-Maria,2,0
Dariana,10,0
Daribel,2,0
Darie,2,0
Dariela,2,0
Darielle,2,0
Darifa,2,0
Dariga,2,0
Dariia,6,0
Dariimaa,6,0
Darija,48,0
Darik,2,0
Darika,4,0
Darima,2,0
Darina,61,0
Darine,44,0
Darinee,4,0
Darinka,52,0
Darisa,3,0
Darisha,2,0
Daristan,2,0
Darit,3,0
Dariya,7,0
Darja,103,0
Darka,7,0
Darla,5,0
Darleen,2,0
Darlene,26,0
Darline,3,0
Darly,6,0
Darlyn,3,0
Darrah,2,0
Darshana,5,0
Darstan,2,0
Darta,3,0
Darunee,36,0
Daruni,4,0
Daruselam,2,0
Daryna,16,0
Dasa,6,0
Dasara,3,0
Dasareta,2,0
Dash,2,0
Dasha,12,0
Dashdulam,2,0
Dashmire,2,0
Dashne,17,0
Dashni,2,0
Dashurie,4,0
Dashurije,12,0
Dasmire,2,0
Dasurija,2,0
Dasurije,7,0
Datchanee,2,0
Datevik,2,0
Dath,2,0
Daulina,2,0
Dauphine,3,0
Davaajargal,2,0
Daveen,2,0
Davida,28,0
Davina,63,0
Davine,2,0
Davinia,3,0
Davita,2,0
Dawjai,2,0
Dawla,3,0
Dawna,3,0
Dawne,2,0
Davorka,15,0
Dawt,4,0
Daxa,2,0
Day,4,0
Dayami,2,0
Dayamis,2,0
Dayana,88,0
Dayanara,2,0
Dayane,5,0
Dayanis,3,0
Dayanna,8,0
Daye,2,0
Dayhana,4,0
Dayse,6,0
Daysi,15,0
Daysy,2,0
Deala,3,0
Deana,26,0
Deang,2,0
Deanna,16,0
Deanne,9,0
Deba,4,0
Debaki,2,0
Debanjana,2,0
Debarati,3,0
Debashree,4,0
Debbie,102,0
Debby,9,0
Debi,3,0
Debika,2,0
Debjani,4,0
Debolina,2,0
Debopriya,2,0
Debora,248,0
Débora,14,0
Deborah,430,0
Déborah,7,0
Deborha,2,0
Debosmita,2,0
Debra,29,0
Debrework,2,0
Decelyn,2,0
December,13,0
Dechen,3,0
Decibel,30,0
Decibell,9,0
Decibelle,47,0
Decima,3,0
Deciré,4,0
Decire,3,0
Decireé,3,0
Decirée,14,0
Deciree,2,0
Decla,2,0
Dee Dee,2,0
Deea,6,0
Deeba,11,0
DeeDee,3,0
Dee-Dee,2,0
Deega,12,0
Deego,7,0
Deeka,6,0
Deekho,2,0
Deeko,3,0
Deeksha,5,0
Deekshika,2,0
Deekshita,4,0
Deekshitha,3,0
Deema,44,0
Deemah,5,0
Deeman,11,0
Deena,27,0
Deeni,2,0
Deepa,38,0
Deepali,11,0
Deepika,50,0
Deepmala,2,0
Deepshikha,4,0
Deepthi,21,0
Deepti,22,0
Deeqa,125,0
Deeqo,127,0
Deesha,2,0
Deetje,2,0
Deetya,2,0
Deewa,4,0
Defina,2,0
Defne,99,0
Dega,10,0
Degan,9,0
Degmo,4,0
Dego,7,0
Deha,2,0
Dehab,36,0
Dehlia,4,0
Dehva,3,0
Deiana,5,0
Deidamia,2,0
Deidre,4,0
Deike,2,0
Deima,3,0
Deimante,37,0
Deimanté,7,0
Deimena,2,0
Deimile,2,0
Deina,4,0
Deirdre,20,0
Deisa,2,0
Deise,8,0
Deisi,5,0
Deisy,19,0
Deja,2,0
Dejana,63,0
Dejin,13,0
Dejla,6,0
Deka,77,0
Dekha,2,0
Deklath,2,0
Deko,28,0
Dekra,4,0
Deksan,4,0
Delafrouz,2,0
Delal,75,0
Delale,2,0
Delana,2,0
Delaney,7,0
Delara,23,0
Delaram,38,0
Delat,2,0
Delawit,2,0
Delbar,7,0
Delber,3,0
Delcha,3,0
Delci,2,0
Delda,2,0
Delfa,3,0
Delfi,2,0
Delfina,18,0
Delger,3,0
Delgermaa,12,0
Delgermurun,2,0
Delgertsetseg,6,0
Delgertuul,2,0
Delgir,2,0
Delia,186,0
Deliah,7,0
Deliana,4,0
Delice,17,0
Delicia,37,0
Deliciah,2,0
Delight,3,0
Delila,49,0
Delilah,25,0
Delin,33,0
Delina,242,0
Delinas,2,0
Delinda,19,0
Deline,6,0
Delinn,2,0
Delis,2,0
Delisa,7,0
Delise,9,0
Delisha,2,0
Delisia,7,0
Delissa,4,0
Delista,2,0
Delivia,2,0
Deliza,3,0
Delizia,2,0
Deljana,3,0
Deljin,9,0
Delkhash,2,0
Delkhaz,6,0
Delkhwaz,4,0
Della,89,0
Dellal,2,0
Dellaram,2,0
Dellie,5,0
Dellina,2,0
Delly,2,0
Delmy,7,0
Delnaz,12,0
Delnia,17,0
Delniya,3,0
Delora,5,0
Delores,4,0
Delphi,5,0
Delphia,2,0
Delphina,3,0
Delphine,56,0
Delrin,2,0
Delsa,22,0
Delshan,8,0
Delshin,2,0
Delsy,2,0
Delta,12,0
Delva,4,0
Delwara,2,0
Delveen,3,0
Delven,5,0
Delveta,2,0
Delvina,12,0
Delyana,6,0
Demah,4,0
Demaris,3,0
Demekesh,2,0
Demelza,4,0
Demet,54,0
Demetra,6,0
Demetria,4,0
Demiana,16,0
Demie,7,0
Demii,2,0
Demila,24,0
Demilja,5,0
Demilje,3,0
Demina,2,0
Demira,2,0
Demirana,2,0
Demire,3,0
Demirella,2,0
Demirka,4,0
Demjana,2,0
Demka,4,0
Demyana,9,0
Denada,8,0
Denah,2,0
Denait,10,0
Denana,12,0
Denayit,2,0
Denayt,4,0
Dency,3,0
Dene,9,0
Deneta,2,0
Denia,5,0
Denica,5,0
Dénice,6,0
Denice,441,0
Denicé,13,0
Deniece,4,0
Deniese,2,0
Denina,4,0
Denisa,192,0
Denisa-Maria,2,0
Denisè,2,0
Dénise,30,0
Denisé,66,0
Denisha,4,0
Denisia,6,0
Denislava,2,0
Denissa,3,0
Denisse,45,0
Denita,18,0
Denitsa,16,0
Denitza,2,0
Deniza,14,0
Denize,164,0
Denizé,2,0
Dénize,4,0
Denizia,3,0
Denja,2,0
Dennisa,5,0
Dennisse,2,0
Densie,2,0
Densmaa,8,0
Densy,2,0
Denya,3,0
Denyse,2,0
Deolinda,10,0
Deona,4,0
Deqa,103,0
Deqo,81,0
Derartu,4,0
Dereen,2,0
Derine,2,0
Deris,3,0
Deriya,2,0
Derja,8,0
Derly,3,0
Derong,2,0
Derva,2,0
Dervisa,55,0
Dervla,3,0
Dery,2,0
Desanka,63,0
Desara,7,0
Desawit,5,0
Desdemona,2,0
Deseré,4,0
Desereé,2,0
Deserée,5,0
Deset,5,0
Deshira,4,0
Dëshira,3,0
Deshire,6,0
Deshka,2,0
Deshna,2,0
Deshne,2,0
Desi,4,0
Desiana,4,0
Desibel,2,0
DesiBell,3,0
Desibelle,4,0
Desideria,38,0
Desie,3,0
Desiet,4,0
Desil,3,0
Désiree,3,0
Désirée,257,0
Desiree,118,0
Desireé,186,0
Desirée,1151,0
Désireé,14,0
Desislava,44,0
Desnet,2,0
Despina,156,0
Déspina,4,0
Despo,3,0
Despoina,81,0
Dessi,4,0
Dessibell,2,0
Dessie,12,0
Dessiré,8,0
Dessislava,7,0
Dessy,5,0
Destany,3,0
Destenie,6,0
Desteny,8,0
Destina,10,0
Destinee,3,0
Destini,2,0
Deta,2,0
Detelina,2,0
Devada,2,0
Devadhi,2,0
Devahira,2,0
Devanshi,6,0
Devanthy,2,0
Devashree,2,0
Dever,2,0
Devida,3,0
Devika,12,0
Devina,17,0
Dewina,2,0
Devinia,2,0
Devita,2,0
Devla,13,0
Devleta,13,0
Devora,8,0
Devorah,2,0
Devota,2,0
Devote,2,0
Devotha,2,0
Devrija,3,0
Devy,3,0
Deyala,3,0
Deyana,13,0
Deyanira,6,0
Deying,3,0
Deysi,7,0
Dezheen,3,0
Dezibel,3,0
Dezibell,2,0
Dezibelle,4,0
Dezire,2,0
Deziré,3,0
Dezirée,3,0
Deztiny,2,0
Dezy,2,0
Dhafaf,2,0
Dhalia,3,0
Dhamia,2,0
Dhammika,2,0
Dhamya,2,0
Dhamyaa,6,0
Dhana,6,0
Dhanai,2,0
Dhanalakshmi,3,0
Dhanalaxmi,2,0
Dhanbai,2,0
Dhanistha,2,0
Dhanvi,6,0
Dhanya,16,0
Dhara,3,0
Dharani,2,0
Dharitri,2,0
Dharmini,2,0
Dharshini,3,0
Dharti,2,0
Dhay,6,0
Dhaya,2,0
Dheeksha,2,0
Dheeman,4,0
Dheerja,2,0
Dhekra,11,0
Dhelal,3,0
Dheman,8,0
Dhespina,2,0
Dhieh,2,0
Dhifaf,12,0
Dhikra,14,0
Dhilal,5,0
Dhimitra,2,0
Dhivya,8,0
Dhofa,2,0
Dhofo,4,0
Dhoha,11,0
Dhol,3,0
Dhoofo,9,0
Dhool,4,0
Dhouha,4,0
Dhrithi,3,0
Dhriti,8,0
Dhruthi,2,0
Dhruvi,4,0
Dhruvika,2,0
Dhuha,73,0
Dhuho,3,0
Dhurata,28,0
Dhuratë,2,0
Dhuuh,2,0
Dhvani,3,0
Dhyana,2,0
Diahann,2,0
Diakite,2,0
Diala,125,0
Dialekti,3,0
Dialla,2,0
Diamanda,7,0
Diamanta,9,0
Diamanto,3,0
Diamantoula,3,0
Diamela,2,0
Diána,9,0
Díana,2,0
Diana Sofia,2,0
Diana-Andreea,2,0
Dianah,18,0
Diana-Maria,10,0
Diana-Mihaela,2,0
Diandra,9,0
Diane,165,0
Dianna,33,0
Dianne,32,0
Dianora,3,0
Diara,13,0
Diarta,5,0
Diba,113,0
Dibah,4,0
Dibe,2,0
Dibeh,4,0
Dibora,35,0
Diborah,4,0
Dîcle,2,0
Dicte,9,0
Didam,2,0
Didare,2,0
Didde,3,0
Diddie,3,0
Didem,64,0
Didiane,2,0
Didina,4,0
Didis,2,0
Didy,2,0
Die,5,0
Diedona,2,0
Diella,8,0
Dielleza,3,0
Dielléza,2,0
Diellëza,4,0
Diellona,7,0
Diellza,39,0
Dielza,3,0
Diema,2,0
Diemut,2,0
Dietlind,4,0
Dietlinde,6,0
Dieuwertje,2,0
Dieynaba,8,0
Digdem,4,0
Digla,2,0
Digna,20,0
Digne,4,0
Dihya,2,0
Diina,2,0
Diinah,2,0
Dija,8,0
Dijamanta,2,0
Dijana,395,0
Dijedona,2,0
Dijeen,2,0
Dijellza,2,0
Dijin,2,0
Dijla,4,0
Dijle,7,0
Dijona,4,0
Dika,30,0
Dikra,8,0
Dikranouhi,2,0
Diksha,11,0
Dikshya,2,0
Dikte,12,0
Dila,54,0
Dilafruz,15,0
Dilana,10,0
Dilani,4,0
Dilanur,3,0
Dilara,294,0
Dilâra,2,0
Dilaram,5,0
Dilav,2,0
Dilay,26,0
Dilba,31,0
Dilbahar,2,0
Dilbar,20,0
Dilbera,2,0
Dilcan,2,0
Dilda,5,0
Dildara,3,0
Dildora,21,0
Dildorahon,2,0
Dilë,2,0
Dileen,6,0
Dilek,192,0
Dilem,17,0
Dilet,5,0
Dileta,2,0
Diletta,4,0
Dilfa,5,0
Dilfija,2,0
Dilfuza,13,0
Dilhani,3,0
Dilia,7,0
Dilin,18,0
Dilini,5,0
Dilista,3,0
Dilja,4,0
Diljá,2,0
Diljara,2,0
Diljazera,2,0
Diljeen,2,0
Diljin,5,0
Dilka,2,0
Dilkhaz,7,0
Dilkhosh,3,0
Dilkhwaz,4,0
Dilki,2,0
Dilla,2,0
Dilma,12,0
Dilnara,3,0
Dilnarin,3,0
Dilnaz,19,0
Dilnaza,2,0
Dilnia,9,0
Dilniya,4,0
Dilnoza,16,0
Dilnur,2,0
Dilnura,3,0
Dilnya,5,0
Dilobar,5,0
Diloram,3,0
Dilorom,7,0
Dilpak,4,0
Dilrabo,3,0
Dilruba,19,0
Dilrukshi,2,0
Dilsa,9,0
Dilsah,6,0
Dilsat,2,0
Dilsha,5,0
Dilshoda,4,0
Dilsoz,11,0
Dilu,2,0
Dilva,10,0
Dilvana,2,0
Dilveen,14,0
Dilven,3,0
Dilvin,23,0
Dilya,5,0
Dilyana,3,0
Dilyara,10,0
Dilzheen,4,0
Dim,3,0
Dimah,30,0
Dimalat,3,0
Dimana,3,0
Dimen,22,0
Dimi,4,0
Dimiana,2,0
Dimitra,208,0
Dimitria,3,0
Dimitrina,7,0
Dimitrinka,9,0
Dimitroula,12,0
Dimka,4,0
Dimma,2,0
Dimple,6,0
Dimyana,7,0
Dinaa,2,0
Dinah,106,0
Dina-Maria,4,0
Dinara,54,0
Dinaya,2,0
Dinda,2,0
Dineh,2,0
Dinela,6,0
Dinelle,2,0
Dinesha,2,0
Dineta,3,0
Dinha,2,0
Dinice,2,0
Dinita,2,0
Dinja,2,0
Dinka,31,0
Dinkinesh,2,0
Dinna,13,0
Dinora,11,0
Dinorah,2,0
Dinore,17,0
Dinusha,8,0
Dinya,2,0
Dioda,2,0
Diola,4,0
Diona,48,0
Dione,9,0
Dioni,3,0
Dionisa,3,0
Dionisia,5,0
Dionita,2,0
Dionne,13,0
Dionysia,5,0
Diora,61,0
Diosa,2,0
Dipa,6,0
Dipali,6,0
Dipanwita,2,0
Dipika,4,0
Dipshikha,2,0
Dipti,12,0
Dirce,2,0
Dircia,2,0
Dirkje,3,0
Dis,6,0
Disa,1330,0
Diser,2,0
Disha,18,0
Dishika,2,0
Dishita,3,0
Disi,3,0
Dita,15,0
Ditana,5,0
Ditas,2,0
Dite,2,0
Diten,2,0
Ditsa,2,0
Ditta,4,0
Ditte,315,0
Ditte-Marie,2,0
Ditti,4,0
Ditty,2,0
Diturie,3,0
Diwa,7,0
Divara,3,0
Divina,22,0
Divisha,2,0
Divjot,2,0
Divna,32,0
Divora,36,0
Divyanshi,3,0
Divyashree,2,0
Dixi,11,0
Dixy,2,0
Diyala,10,0
Diyana,57,0
Diyanah,4,0
Diyara,3,0
Diyora,16,0
Diza,28,0
Djamila,42,0
Djamilatou,2,0
Djamileh,7,0
Djamilla,4,0
Djana,17,0
Djanat,2,0
Djane,3,0
Djaneta,3,0
Djanita,2,0
Djanna,2,0
Djaouida,2,0
Djawahir,2,0
Djazia,3,0
Djejlan,3,0
Djejljan,3,0
Djelan,2,0
Djeljana,2,0
Djellëza,2,0
Djellona,4,0
Djellza,32,0
Djemaia,2,0
Djemila,18,0
Djemile,3,0
Djemilja,2,0
Djemilje,9,0
Djemka,3,0
Djenabou,2,0
Djenana,12,0
Djeneba,6,0
Djénéba,3,0
Djenebou,2,0
Djeneta,6,0
Djenifer,2,0
Djenisa,2,0
Djenita,11,0
Djenna,2,0
Djennet,2,0
Djenni,2,0
Djenny,2,0
Djesika,2,0
Djeva,5,0
Djevahire,5,0
Djevaira,2,0
Djevaire,2,0
Djevida,3,0
Djevrija,7,0
Djevrije,3,0
Djiana,2,0
Djihane,2,0
Djimie,2,0
Djina,5,0
Djinan,3,0
Djinna,2,0
Djoana,2,0
Djordjica,3,0
Djouletta,3,0
Djuan,3,0
Djuka,6,0
Djulferije,2,0
Djulfidane,2,0
Djuli,2,0
Djulia,3,0
Djulija,3,0
Djulijana,7,0
Djulije,2,0
Djulijeta,3,0
Djulja,8,0
Djulka,4,0
Djulsa,2,0
Djumana,2,0
Djuna,3,0
Djurdja,14,0
Djurdjevka,4,0
Djurdjica,11,0
Djurdjija,6,0
Djurdjina,3,0
Djurdjinka,4,0
Djwan,3,0
Djäken,2,0
Dlal,3,0
Dlan,2,0
Dlar,2,0
Dlara,8,0
Dlaram,2,0
Dlav,2,0
Dlavin,2,0
Dlbar,3,0
Dlet,4,0
Dlhin,2,0
Dlijan,2,0
Dlin,55,0
Dlina,2,0
Dlivia,3,0
Dliyet,2,0
Dlkhosh,3,0
Dlkhwaz,5,0
Dlnaz,2,0
Dlniya,3,0
Dlnya,6,0
Dlsha,2,0
Dlshan,2,0
Dlsoz,9,0
Dlvan,2,0
Dlveen,3,0
Dlven,3,0
Dlvin,15,0
Dlyet,7,0
Dmiana,3,0
Dmka,2,0
Dmyana,2,0
Dnia,4,0
Dnita,2,0
Dnya,3,0
Dnyana,2,0
Doa,27,0
Doaa,285,0
Doa'a,3,0
Doae,3,0
Doai,3,0
Dobra,4,0
Dobrana,3,0
Dobrawa,2,0
Dobrila,57,0
Dobrina,3,0
Dobrinka,14,0
Dobrita,2,0
Dobromila,3,0
Dobroslawa,7,0
Docus,2,0
Dodona,6,0
Dofo,3,0
Doha,96,0
Dohaa,4,0
Dohee,2,0
Doina,72,0
Doina-Elena,2,0
Doina-Maria,2,0
Doinita,6,0
Doja,2,0
Dojna,7,0
Dokmai,5,0
Dokrak,2,0
Dola,7,0
Dolbar,2,0
Dolce,2,0
Dolgor,3,0
Dolgormaa,8,0
Dolgorsuren,5,0
Doline,3,0
Dolja,2,0
Doll,3,0
Dolla,2,0
Dollan,4,0
Dollaya,3,0
Doll-Britt,2,0
Dollie,2,0
Dolly,95,0
Dolma,6,0
Dolshi,5,0
Dolzodmaa,2,0
Dom,2,0
Domante,2,0
Domarina,9,0
Domenica,14,0
Domenika,4,0
Domiana,3,0
Domicela,5,0
Domile,3,0
Domina,4,0
Dominga,9,0
Domingas,6,0
Dominica,8,0
Dominika,355,0
Domininka,2,0
Dominiqa,2,0
Dominiqué,2,0
Dominka,3,0
Dominyka,14,0
Domithile,2,0
Domitila,4,0
Domitilla,2,0
Domna,4,0
Domnica,9,0
Domnika,4,0
Domniki,3,0
Domnita,3,0
Domyana,2,0
Dona,37,0
Donabelle,2,0
Donalda,2,0
Donara,4,0
Donarta,5,0
Donata,43,0
Donatela,4,0
Donatella,34,0
Donavine,2,0
Done,2,0
Donea,5,0
Donella,3,0
Donesa,3,0
Doneta,2,0
Dongdong,2,0
Dongfang,2,0
Dongli,4,0
Dongmei,11,0
Dongni,2,0
Dongxia,3,0
Dongxue,2,0
Dongyan,2,0
Dongyang,2,0
Dongyun,2,0
Donia,177,0
Donica,2,0
Donija,2,0
Donika,129,0
Donikë,2,0
Donis,3,0
Donisa,3,0
Donita,8,0
Donja,47,0
Donjeta,85,0
Donka,19,0
Donlaya,3,0
Donna,206,0
Donnapha,2,0
Donnatella,4,0
Donokhon,3,0
Donya,243,0
Dooa,3,0
Doortje,3,0
Dóra,37,0
Dorah,5,0
Doralina,2,0
Doralisa,2,0
Dorani,3,0
Dorarta,2,0
Dorcas,49,0
Dorcus,7,0
Dordana,2,0
Dordie,4,0
Dordy,12,0
Dorea,2,0
Doreen,93,0
Doreén,2,0
Dorela,21,0
Dorena,3,0
Dorene,2,0
Dorentina,63,0
Dores,2,0
Doresa,10,0
Doreta,2,0
Dorete,3,0
Dorette,4,0
Doria,13,0
Doriana,16,0
Doriane,8,0
Doriann,2,0
Dorien,6,0
Doriet,3,0
Dorika,7,0
Dorila,2,0
Dorina,119,0
Dorinda,3,0
Dorine,17,0
Dorisa,3,0
Dorise,3,0
Dorit,79,0
Dorita,19,0
Dorith,15,0
Doritha,2,0
Doriz,3,0
Dorjana,2,0
Dorka,9,0
Dorkas,6,0
Dorle,2,0
Dorna,28,0
Dornaz,2,0
Dorontina,13,0
Dorontine,2,0
Dorota,767,0
Dorotea,168,0
Dorotéa,2,0
Doroteia,2,0
Doroteja,9,0
Doroteya,2,0
Dorotha,3,0
Dorothe,3,0
Dorothea,209,0
Dorothéa,4,0
Dorothee,30,0
Dorothée,11,0
Dorothy,216,0
Dorottya,28,0
Doroty,3,0
Dorra,8,0
Dorreh,2,0
Dorrie,2,0
Dorriet,3,0
Dorrin,2,0
Dorris,3,0
Dorrit,96,0
Dorrith,6,0
Dorritz,2,0
Dorrsa,3,0
Dorry,9,0
Dorsa,40,0
Dorsaf,11,0
Dorsin,2,0
Dorte,74,0
Dorthe,99,0
Dorthea,3,0
Dorthy,90,0
Dorti,3,0
Dorty,12,0
Doruntina,39,0
Doruntine,4,0
Dosta,12,0
Dostana,2,0
Dothy,2,0
Dott,2,0
Dottie,4,0
Dotty,7,0
Doua,27,0
Douaa,90,0
Douae,3,0
Douce,3,0
Douha,29,0
Doungkamol,2,0
Doungporn,3,0
Dounia,49,0
Dounja,2,0
Dounya,9,0
Douris,2,0
Dowaa,3,0
Dovile,67,0
Dovilé,3,0
Dovin,2,0
Dowlat,2,0
Dowlay,3,0
Doyeon,2,0
Dr,4,0
Draga,35,0
Dragana,585,0
Dragica,402,0
Dragijana,2,0
Dragina,3,0
Draginja,38,0
Dragojla,9,0
Dragomirka,2,0
Dragosava,2,0
Dragoslava,16,0
Drahomira,6,0
Drakhshan,5,0
Drane,2,0
Drazana,3,0
Drazena,7,0
Drazenka,10,0
Drbas,2,0
Drena,7,0
Drenka,6,0
Drenuse,2,0
Drenusha,11,0
Drenushe,6,0
Driana,2,0
Drifa,7,0
Drilona,11,0
Drina,11,0
Drinka,2,0
Driola,4,0
Drishti,7,0
Drissia,3,0
Drita,160,0
Drite,4,0
Dritta,2,0
Driva,3,0
Drude,3,0
Drya,2,0
Drömma,3,0
Dua,104,0
Duaa,232,0
Dua'a,6,0
Duáa,2,0
Duah,3,0
Duanchai,3,0
Duangchai,12,0
Duangchan,13,0
Duangcheewan,2,0
Duangdao,10,0
Duangduan,5,0
Duangduean,11,0
Duangduen,5,0
Duanghathai,2,0
Duangjai,33,0
Duangjan,9,0
Duangkaew,5,0
Duangkamol,11,0
Duangkamon,15,0
Duangmanee,2,0
Duangnapa,2,0
Duangnapha,5,0
Duangnet,5,0
