Namn,K,M
Abdiqaliq,0,8
Abdiqani,0,166
Abdiqeys,0,2
Abdirabi,0,11
Abdirachid,0,2
Abdiraham,0,2
Abdirahaman,0,11
Abdirahem,0,2
Abdirahiim,0,9
Abdirahiin,0,2
Abdirahim,0,172
Abdi-Rahim,0,2
Abdirahin,0,21
Abdirahmaan,0,41
Abdirahman,3,1914
Abdi-Rahman,0,3
Abdirahman Abdullahi,0,2
Abdirahman Ahmed,0,2
Abdirahman Omar,0,2
Abdiraman,0,2
Abdiraouf,0,2
Abdirasak,0,13
Abdirasaq,0,19
Abdirashid,0,237
Abdirashiid,0,18
Abdirask,0,2
Abdirauf,0,6
Abdiraxmaan,0,3
Abdiraxman,0,7
Abdirazak,0,53
Abdirazaq,0,10
Abdiresak,0,2
Abdireshid,0,2
Abdirezak,0,5
Abdirhaman,0,3
Abdirhman,0,4
Abdirihin,0,2
Abdirihman,0,11
Abdirisaak,0,6
Abdirisaaq,0,35
Abdirisack,0,6
Abdirisag,0,3
Abdirisak,0,150
Abdirisakh,0,4
Abdirisaq,0,139
Abdirizaak,0,5
Abdirizack,0,3
Abdirizag,0,2
Abdirizah,0,2
Abdirizak,0,224
Abdirizaq,0,19
Abdirrahman,0,3
Abdirsaaq,0,2
Abdirsaq,0,2
Abdirzak,0,3
Abdisahal,0,5
Abdisalaam,0,15
Abdisalaan,0,13
Abdi-Salam,0,2
Abdisalam,0,117
Abdi-Salan,0,2
Abdisalan,0,97
Abdisamad,0,81
Abdi-Samad,0,2
Abdisamed,0,30
Abdisataar,0,2
Abdisatar,0,2
Abdiselam,0,2
Abdishakor,0,2
Abdishakour,0,2
Abdishakur,0,163
Abdishakuur,0,11
Abdishukri,0,6
Abdishukur,0,4
Abdissa,0,2
Abdiwaahid,0,2
Abdiwadud,0,7
Abdiwaduud,0,2
Abdiwahaab,0,6
Abdiwahab,2,94
Abdi-Wahab,0,3
Abdiwahid,0,43
Abdiwakil,0,2
Abdiwali,0,83
Abdiwasa,0,8
Abdiwasac,0,5
Abdi-Weli,0,3
Abdiweli,0,43
Abdiyare,0,5
Abdizalan,0,2
Abdl,0,5
Abdla,0,2
Abdlaziz,0,2
Abdlkarim,0,2
Abdlla,0,3
Abdllah,0,3
Abdlmalek,0,2
Abdlrahman,0,6
Abdo,0,191
Abdoallah,0,3
Abdoh,0,3
Abdol,0,51
Abdola,0,2
Abdolah,0,12
Abdolahad,0,7
Abdolali,0,6
Abdolamir,0,9
Abdolazim,0,2
Abdolaziz,0,4
Abdolhamid,0,15
Abdolhassan,0,3
Abdolhossein,0,14
Abdoljabbar,0,2
Abdoljalil,0,2
Abdolkarem,0,2
Abdolkarim,0,13
Abdolkhalegh,0,5
Abdoll,0,2
Abdolla,0,8
Abdollah,0,78
Abdolmajid,0,9
Abdolmehdi,0,2
Abdolmonem,0,2
Abdolnaser,0,6
Abdolnasser,0,2
Abdolrahim,0,11
Abdolrahman,0,12
Abdolraouf,0,2
Abdolrasool,0,2
Abdolrazagh,0,2
Abdolreza,0,47
Abdolsaheb,0,2
Abdolsamad,0,3
Abdon,0,4
Abdorahman,0,4
Abdorreza,0,2
Abdou,0,104
Abdoul,0,52
Abdoula,0,2
Abdoulah,0,2
Abdoulai,0,2
Abdoulaye,0,54
Abdoulaziz,0,2
Abdoulhamid,0,2
Abdoulie,0,143
Abdoulkader,0,12
Abdoulkarim,0,5
Abdoullah,0,16
Abdoulrahman,0,6
Abdourahamane,0,2
Abdourahman,0,33
Abdourahmane,0,4
Abdourazack,0,2
Abdourazak,0,2
Abdousalam,0,2
Abdow,0,7
Abdrahman,0,17
Abdrirahman,0,2
Abdsalam,0,2
Abdu,0,170
Abdu Rahman,0,2
Abduallah,0,8
Abdualrahman,0,4
Abdualrhman,0,2
Abduaziz,0,4
Abduelhadi,0,2
Abdufatah,0,2
Abdugaffor,0,2
Abdugani,0,4
Abduhakim,0,2
Abdukader,0,3
Abdukadir,0,40
Abdukarim,0,5
Abdukhader,0,3
Abdukhadir,0,2
Abdul,2,2542
Abdul Ahad,0,5
Abdul Ali,0,3
Abdul Aziz,0,13
Abdul Basit,0,3
Abdul Ghani,0,2
Abdul Hadi,0,11
Abdul Hakim,0,2
Abdul Halim,0,3
Abdul Hamid,0,3
Abdul Jabbar,0,2
Abdul Jalil,0,3
Abdul Kader,0,2
Abdul Kadir,0,3
Abdul Karim,0,6
Abdul Latif,0,3
Abdul Majid,0,5
Abdul Malik,0,4
Abdul Qadir,0,2
Abdul Rahman,0,24
Abdul Rashid,0,2
Abdul Rauf,0,3
Abdul Razak,0,2
Abdul Reda,0,2
Abdul Rehman,0,3
Abdul Salam,0,6
Abdul Wahab,0,2
Abdul Wali,0,2
Abdula,0,42
Abdulaa,0,2
Abdulaah,0,2
Abdulaahi,0,31
Abduladheem,0,2
Abduladif,0,2
Abdulah,0,107
Abdulahad,0,111
Abdul-Ahad,0,6
Abdulahat,0,4
Abdulahd,0,2
Abdulahi,0,400
Abdulahi Said,0,2
Abdulahmad,0,2
Abdulai,0,11
Abdulakh,0,2
Abdulalem,0,3
Abdulali,0,9
Abdulalim,0,10
Abdulameer,0,8
Abdulameir,0,2
Abdulamir,0,20
Abdul-Amir,0,2
Abdulasis,0,7
Abdulateef,0,8
Abdulatef,0,3
Abdulathim,0,2
Abdulati,0,2
Abdulatif,0,32
Abdulazeem,0,2
Abdulazeez,0,27
Abdulazez,0,4
Abdulazim,0,9
Abdulazis,0,2
Abdulaziz,0,392
Abdul-Aziz,0,8
Abdulbaki,0,20
Abdulbaqi,0,8
Abdulbari,0,20
Abdulbaset,0,42
Abdulbashir,0,2
Abdulbasid,0,7
Abdulbasir,0,10
Abdulbasit,0,15
Abdulboriy,0,2
