Contestant,Voter,Score,Artist,Song,Year
United Kingdom,Luxembourg,7,Michael Ball,One Step Out of Time,1992
Israel,Luxembourg,8,Dafna Dekel,Ze Rak Sport,1992
Ireland,Luxembourg,10,Linda Martin,Why Me?,1992
Malta,Luxembourg,12,Mary Spiteri,Little Child,1992
Cyprus,Malta,1,Evridiki,Teriazoume,1992
Spain,Malta,2,Serafín,Todo esto es la música,1992
Yugoslavia,Malta,3,Extra Nena,Ljubim te pesmama,1992
Austria,Malta,4,Tony Wegas,Zusammen geh'n,1992
Italy,Malta,5,Mia Martini,Rapsodia,1992
United Kingdom,Malta,6,Michael Ball,One Step Out of Time,1992
Israel,Malta,7,Dafna Dekel,Ze Rak Sport,1992
Turkey,Malta,8,Aylin Vatankoş,Yaz Bitti,1992
Luxembourg,Malta,10,Marion Welter & Kontinent,Sou fräi,1992
Ireland,Malta,12,Linda Martin,Why Me?,1992
Spain,Netherlands,1,Serafín,Todo esto es la música,1992
Iceland,Netherlands,2,Heart 2 Heart,Nei eða já,1992
Israel,Netherlands,3,Dafna Dekel,Ze Rak Sport,1992
Greece,Netherlands,4,Cleopatra,Olou tou kosmou i Elpida,1992
Malta,Netherlands,5,Mary Spiteri,Little Child,1992
France,Netherlands,6,Kali,Monté la riviè,1992
United Kingdom,Netherlands,7,Michael Ball,One Step Out of Time,1992
Cyprus,Netherlands,8,Evridiki,Teriazoume,1992
Ireland,Netherlands,10,Linda Martin,Why Me?,1992
Italy,Netherlands,12,Mia Martini,Rapsodia,1992
Iceland,Norway,1,Heart 2 Heart,Nei eða já,1992
Israel,Norway,2,Dafna Dekel,Ze Rak Sport,1992
Cyprus,Norway,3,Evridiki,Teriazoume,1992
Netherlands,Norway,4,Humphrey Campbell,Wijs me de weg,1992
Spain,Norway,5,Serafín,Todo esto es la música,1992
Denmark,Norway,6,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,1992
Ireland,Norway,7,Linda Martin,Why Me?,1992
Greece,Norway,8,Cleopatra,Olou tou kosmou i Elpida,1992
France,Norway,10,Kali,Monté la riviè,1992
Italy,Norway,12,Mia Martini,Rapsodia,1992
Denmark,Portugal,1,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,1992
Cyprus,Portugal,2,Evridiki,Teriazoume,1992
Austria,Portugal,3,Tony Wegas,Zusammen geh'n,1992
Ireland,Portugal,4,Linda Martin,Why Me?,1992
Greece,Portugal,5,Cleopatra,Olou tou kosmou i Elpida,1992
Iceland,Portugal,6,Heart 2 Heart,Nei eða já,1992
Israel,Portugal,7,Dafna Dekel,Ze Rak Sport,1992
Italy,Portugal,8,Mia Martini,Rapsodia,1992
Germany,Portugal,10,Wind,Träume sind für alle da,1992
Malta,Portugal,12,Mary Spiteri,Little Child,1992
Ireland,Spain,1,Linda Martin,Why Me?,1992
Austria,Spain,2,Tony Wegas,Zusammen geh'n,1992
Belgium,Spain,3,Morgane,"Nous, on veut des violons",1992
Denmark,Spain,4,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,1992
United Kingdom,Spain,5,Michael Ball,One Step Out of Time,1992
France,Spain,6,Kali,Monté la riviè,1992
Netherlands,Spain,7,Humphrey Campbell,Wijs me de weg,1992
Iceland,Spain,8,Heart 2 Heart,Nei eða já,1992
Israel,Spain,10,Dafna Dekel,Ze Rak Sport,1992
Malta,Spain,12,Mary Spiteri,Little Child,1992
Austria,Sweden,1,Tony Wegas,Zusammen geh'n,1992
Norway,Sweden,2,Merethe Trøan,Visjoner,1992
Greece,Sweden,3,Cleopatra,Olou tou kosmou i Elpida,1992
Israel,Sweden,4,Dafna Dekel,Ze Rak Sport,1992
United Kingdom,Sweden,5,Michael Ball,One Step Out of Time,1992
Iceland,Sweden,6,Heart 2 Heart,Nei eða já,1992
Denmark,Sweden,7,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,1992
Italy,Sweden,8,Mia Martini,Rapsodia,1992
Ireland,Sweden,10,Linda Martin,Why Me?,1992
Malta,Sweden,12,Mary Spiteri,Little Child,1992
Netherlands,Switzerland,1,Humphrey Campbell,Wijs me de weg,1992
Cyprus,Switzerland,2,Evridiki,Teriazoume,1992
Iceland,Switzerland,3,Heart 2 Heart,Nei eða já,1992
Israel,Switzerland,4,Dafna Dekel,Ze Rak Sport,1992
Malta,Switzerland,5,Mary Spiteri,Little Child,1992
Ireland,Switzerland,6,Linda Martin,Why Me?,1992
Italy,Switzerland,7,Mia Martini,Rapsodia,1992
United Kingdom,Switzerland,8,Michael Ball,One Step Out of Time,1992
Greece,Switzerland,10,Cleopatra,Olou tou kosmou i Elpida,1992
France,Switzerland,12,Kali,Monté la riviè,1992
Spain,Turkey,1,Serafín,Todo esto es la música,1992
Israel,Turkey,2,Dafna Dekel,Ze Rak Sport,1992
France,Turkey,3,Kali,Monté la riviè,1992
Belgium,Turkey,4,Morgane,"Nous, on veut des violons",1992
Italy,Turkey,5,Mia Martini,Rapsodia,1992
Yugoslavia,Turkey,6,Extra Nena,Ljubim te pesmama,1992
Netherlands,Turkey,7,Humphrey Campbell,Wijs me de weg,1992
Greece,Turkey,8,Cleopatra,Olou tou kosmou i Elpida,1992
United Kingdom,Turkey,10,Michael Ball,One Step Out of Time,1992
Ireland,Turkey,12,Linda Martin,Why Me?,1992
Spain,United Kingdom,1,Serafín,Todo esto es la música,1992
Netherlands,United Kingdom,2,Humphrey Campbell,Wijs me de weg,1992
Denmark,United Kingdom,3,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,1992
Switzerland,United Kingdom,4,Daisy Auvray,Mister Music Man,1992
Norway,United Kingdom,5,Merethe Trøan,Visjoner,1992
Germany,United Kingdom,6,Wind,Träume sind für alle da,1992
Israel,United Kingdom,7,Dafna Dekel,Ze Rak Sport,1992
Ireland,United Kingdom,8,Linda Martin,Why Me?,1992
Austria,United Kingdom,10,Tony Wegas,Zusammen geh'n,1992
Iceland,United Kingdom,12,Heart 2 Heart,Nei eða já,1992
Norway,Yugoslavia,1,Merethe Trøan,Visjoner,1992
Ireland,Yugoslavia,2,Linda Martin,Why Me?,1992
Finland,Yugoslavia,3,Pave Maijanen,"Yamma, yamma",1992
Sweden,Yugoslavia,4,Christer Björkman,I morgon är en annan dag,1992
Portugal,Yugoslavia,5,Dina,Amor d'água fresca,1992
Turkey,Yugoslavia,6,Aylin Vatankoş,Yaz Bitti,1992
Greece,Yugoslavia,7,Cleopatra,Olou tou kosmou i Elpida,1992
Cyprus,Yugoslavia,8,Evridiki,Teriazoume,1992
Malta,Yugoslavia,10,Mary Spiteri,Little Child,1992
Israel,Yugoslavia,12,Dafna Dekel,Ze Rak Sport,1992
Denmark,Albania,1,Emmelie de Forest,Only Teardrops,2013
Norway,Albania,2,Margaret Berger,I Feed You My Love,2013
Germany,Albania,3,Cascada,Glorious,2013
Netherlands,Albania,4,Anouk,Birds,2013
Romania,Albania,5,Cezar,It's My Life,2013
Spain,Albania,6,ESDM,Contigo hasta el final,2013
Azerbaijan,Albania,7,Farid Mammadov,Hold Me,2013
Hungary,Albania,8,ByeAlex,Kedvesem (Zoohacker Remix),2013
Greece,Albania,10,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Italy,Albania,12,Marco Mengoni,L'essenziale,2013
Italy,Armenia,1,Marco Mengoni,L'essenziale,2013
France,Armenia,2,Amandine Bourgeois,L'enfer et moi,2013
Norway,Armenia,3,Margaret Berger,I Feed You My Love,2013
Denmark,Armenia,4,Emmelie de Forest,Only Teardrops,2013
Belarus,Armenia,5,Alyona Lanskaya,Solayoh,2013
Malta,Armenia,6,Gianluca,Tomorrow,2013
Russia,Armenia,7,Dina Garipova,What If,2013
Greece,Armenia,8,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Georgia,Armenia,10,Nodi Tatishvili and Sophie Gelovani,Waterfall,2013
Ukraine,Armenia,12,Zlata Ognevich,Gravity,2013
Ukraine,Austria,1,Zlata Ognevich,Gravity,2013
Moldova,Austria,2,Aliona Moon,O mie,2013
Belgium,Austria,3,Roberto Bellarosa,Love Kills,2013
Romania,Austria,4,Cezar,It's My Life,2013
Denmark,Austria,5,Emmelie de Forest,Only Teardrops,2013
Germany,Austria,6,Cascada,Glorious,2013
Greece,Austria,7,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Netherlands,Austria,8,Anouk,Birds,2013
Italy,Austria,10,Marco Mengoni,L'essenziale,2013
Azerbaijan,Austria,12,Farid Mammadov,Hold Me,2013
Moldova,Azerbaijan,1,Aliona Moon,O mie,2013
Norway,Azerbaijan,2,Margaret Berger,I Feed You My Love,2013
Lithuania,Azerbaijan,3,Andrius Pojavis,Something,2013
Greece,Azerbaijan,4,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Denmark,Azerbaijan,5,Emmelie de Forest,Only Teardrops,2013
Romania,Azerbaijan,6,Cezar,It's My Life,2013
