Contestant,Voter,Score,Artist,Song,Year
Ukraine,Israel,10,Zlata Ognevich,Gravity,2013
Azerbaijan,Israel,12,Farid Mammadov,Hold Me,2013
Romania,Italy,1,Cezar,It's My Life,2013
Spain,Italy,2,ESDM,Contigo hasta el final,2013
Hungary,Italy,3,ByeAlex,Kedvesem (Zoohacker Remix),2013
Moldova,Italy,4,Aliona Moon,O mie,2013
Ukraine,Italy,5,Zlata Ognevich,Gravity,2013
Lithuania,Italy,6,Andrius Pojavis,Something,2013
Greece,Italy,7,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Norway,Italy,8,Margaret Berger,I Feed You My Love,2013
Malta,Italy,10,Gianluca,Tomorrow,2013
Denmark,Italy,12,Emmelie de Forest,Only Teardrops,2013
Greece,Latvia,1,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Belgium,Latvia,2,Roberto Bellarosa,Love Kills,2013
Azerbaijan,Latvia,3,Farid Mammadov,Hold Me,2013
Sweden,Latvia,4,Robin Stjernberg,You,2013
Malta,Latvia,5,Gianluca,Tomorrow,2013
Denmark,Latvia,6,Emmelie de Forest,Only Teardrops,2013
Ukraine,Latvia,7,Zlata Ognevich,Gravity,2013
Norway,Latvia,8,Margaret Berger,I Feed You My Love,2013
Estonia,Latvia,10,Birgit,Et uus saaks alguse,2013
Russia,Latvia,12,Dina Garipova,What If,2013
Belarus,Lithuania,1,Alyona Lanskaya,Solayoh,2013
Denmark,Lithuania,2,Emmelie de Forest,Only Teardrops,2013
Estonia,Lithuania,3,Birgit,Et uus saaks alguse,2013
Netherlands,Lithuania,4,Anouk,Birds,2013
Hungary,Lithuania,5,ByeAlex,Kedvesem (Zoohacker Remix),2013
Norway,Lithuania,6,Margaret Berger,I Feed You My Love,2013
Russia,Lithuania,7,Dina Garipova,What If,2013
Georgia,Lithuania,8,Nodi Tatishvili and Sophie Gelovani,Waterfall,2013
Ukraine,Lithuania,10,Zlata Ognevich,Gravity,2013
Azerbaijan,Lithuania,12,Farid Mammadov,Hold Me,2013
France,Macedonia,1,Amandine Bourgeois,L'enfer et moi,2013
Netherlands,Macedonia,2,Anouk,Birds,2013
Malta,Macedonia,3,Gianluca,Tomorrow,2013
Greece,Macedonia,4,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Belarus,Macedonia,5,Alyona Lanskaya,Solayoh,2013
Russia,Macedonia,6,Dina Garipova,What If,2013
Moldova,Macedonia,7,Aliona Moon,O mie,2013
Norway,Macedonia,8,Margaret Berger,I Feed You My Love,2013
Italy,Macedonia,10,Marco Mengoni,L'essenziale,2013
Denmark,Macedonia,12,Emmelie de Forest,Only Teardrops,2013
Armenia,Malta,1,Dorians,Lonely Planet,2013
Belarus,Malta,2,Alyona Lanskaya,Solayoh,2013
Norway,Malta,3,Margaret Berger,I Feed You My Love,2013
Greece,Malta,4,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
United Kingdom,Malta,5,Bonnie Tyler,Believe in Me,2013
Denmark,Malta,6,Emmelie de Forest,Only Teardrops,2013
Romania,Malta,7,Cezar,It's My Life,2013
Italy,Malta,8,Marco Mengoni,L'essenziale,2013
Ukraine,Malta,10,Zlata Ognevich,Gravity,2013
Azerbaijan,Malta,12,Farid Mammadov,Hold Me,2013
Armenia,Moldova,1,Dorians,Lonely Planet,2013
Norway,Moldova,2,Margaret Berger,I Feed You My Love,2013
Georgia,Moldova,3,Nodi Tatishvili and Sophie Gelovani,Waterfall,2013
Belarus,Moldova,4,Alyona Lanskaya,Solayoh,2013
Sweden,Moldova,5,Robin Stjernberg,You,2013
Denmark,Moldova,6,Emmelie de Forest,Only Teardrops,2013
Russia,Moldova,7,Dina Garipova,What If,2013
Azerbaijan,Moldova,8,Farid Mammadov,Hold Me,2013
Romania,Moldova,10,Cezar,It's My Life,2013
Ukraine,Moldova,12,Zlata Ognevich,Gravity,2013
Romania,Montenegro,1,Cezar,It's My Life,2013
Georgia,Montenegro,2,Nodi Tatishvili and Sophie Gelovani,Waterfall,2013
Belarus,Montenegro,3,Alyona Lanskaya,Solayoh,2013
Norway,Montenegro,4,Margaret Berger,I Feed You My Love,2013
Moldova,Montenegro,5,Aliona Moon,O mie,2013
Italy,Montenegro,6,Marco Mengoni,L'essenziale,2013
Russia,Montenegro,7,Dina Garipova,What If,2013
Greece,Montenegro,8,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Denmark,Montenegro,10,Emmelie de Forest,Only Teardrops,2013
Azerbaijan,Montenegro,12,Farid Mammadov,Hold Me,2013
Greece,Netherlands,1,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Azerbaijan,Netherlands,2,Farid Mammadov,Hold Me,2013
Sweden,Netherlands,3,Robin Stjernberg,You,2013
Russia,Netherlands,4,Dina Garipova,What If,2013
Ukraine,Netherlands,5,Zlata Ognevich,Gravity,2013
Norway,Netherlands,6,Margaret Berger,I Feed You My Love,2013
Hungary,Netherlands,7,ByeAlex,Kedvesem (Zoohacker Remix),2013
Malta,Netherlands,8,Gianluca,Tomorrow,2013
Denmark,Netherlands,10,Emmelie de Forest,Only Teardrops,2013
Belgium,Netherlands,12,Roberto Bellarosa,Love Kills,2013
Ukraine,Norway,1,Zlata Ognevich,Gravity,2013
Hungary,Norway,2,ByeAlex,Kedvesem (Zoohacker Remix),2013
Belgium,Norway,3,Roberto Bellarosa,Love Kills,2013
Iceland,Norway,4,Eythor Ingi,Ég á líf,2013
Greece,Norway,5,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Romania,Norway,6,Cezar,It's My Life,2013
Denmark,Norway,7,Emmelie de Forest,Only Teardrops,2013
Netherlands,Norway,8,Anouk,Birds,2013
Malta,Norway,10,Gianluca,Tomorrow,2013
Sweden,Norway,12,Robin Stjernberg,You,2013
Italy,Romania,1,Marco Mengoni,L'essenziale,2013
Netherlands,Romania,2,Anouk,Birds,2013
United Kingdom,Romania,3,Bonnie Tyler,Believe in Me,2013
Ukraine,Romania,4,Zlata Ognevich,Gravity,2013
Malta,Romania,5,Gianluca,Tomorrow,2013
Denmark,Romania,6,Emmelie de Forest,Only Teardrops,2013
Greece,Romania,7,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Norway,Romania,8,Margaret Berger,I Feed You My Love,2013
Azerbaijan,Romania,10,Farid Mammadov,Hold Me,2013
Moldova,Romania,12,Aliona Moon,O mie,2013
Ukraine,Russia,1,Zlata Ognevich,Gravity,2013
Armenia,Russia,2,Dorians,Lonely Planet,2013
Netherlands,Russia,3,Anouk,Birds,2013
Denmark,Russia,4,Emmelie de Forest,Only Teardrops,2013
Georgia,Russia,5,Nodi Tatishvili and Sophie Gelovani,Waterfall,2013
Moldova,Russia,6,Aliona Moon,O mie,2013
Norway,Russia,7,Margaret Berger,I Feed You My Love,2013
Belgium,Russia,8,Roberto Bellarosa,Love Kills,2013
Greece,Russia,10,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Azerbaijan,Russia,12,Farid Mammadov,Hold Me,2013
Armenia,San Marino,1,Dorians,Lonely Planet,2013
Azerbaijan,San Marino,2,Farid Mammadov,Hold Me,2013
Finland,San Marino,3,Krista Siegfrids,Marry Me,2013
Italy,San Marino,4,Marco Mengoni,L'essenziale,2013
Belgium,San Marino,5,Roberto Bellarosa,Love Kills,2013
Hungary,San Marino,6,ByeAlex,Kedvesem (Zoohacker Remix),2013
Norway,San Marino,7,Margaret Berger,I Feed You My Love,2013
France,San Marino,8,Amandine Bourgeois,L'enfer et moi,2013
Malta,San Marino,10,Gianluca,Tomorrow,2013
Greece,San Marino,12,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,2013
Sweden,Serbia,1,Robin Stjernberg,You,2013
